Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp
CWHdm/07,21.63,22.06,22.56,NA,Pl
CWHdm/07,22.69,24.4,26.74,NA,Lw
CWHdm/07,29.2,30.89,32.53,33.86272777,Hw
CWHdm/07,29.62,30.64,31.56,30.76363616,Cw
CWHdm/07,39.43,40.01,40.6,40.96444405,Fd
CWHdm/09,18.3,19.13,19.96,NA,Sx
CWHdm/09,18.86,19.51,20.42,NA,Bl
CWHdm/09,20.03,24.82,29.72,NA,Py
CWHdm/09,21.63,22.06,22.56,NA,Pl
CWHdm/09,22.69,24.4,26.74,NA,Lw
CWHdm/09,29.2,30.89,32.53,NA,Hw
CWHdm/09,29.62,30.64,31.56,28,Cw
CWHdm/09,39.43,40.01,40.6,NA,Fd
CWHdm/11,1.32,7.07,12.83,NA,Lw
CWHdm/11,12.97,14.79,16.62,NA,Bl
CWHdm/11,13.56,13.94,14.32,NA,Sx
CWHdm/11,14.34,16.42,18.49,12,Cw
CWHdm/11,14.43,15.14,15.86,16,Pl
CWHdm/11,20.15,21.14,22.12,NA,Hw
CWHdm/11,34.91,35.61,36.31,NA,Fd
CWHdm/11,39.9,44.36,48.81,NA,Py
CWHdm/12,15.19,15.69,16.15,NA,Sx
CWHdm/12,17.5,17.69,17.88,NA,Bl
CWHdm/12,17.84,18.52,18.94,NA,Pl
CWHdm/12,21.38,23.65,24.94,20,Cw
CWHdm/12,22.38,28.9,34.6,NA,Lw
CWHdm/12,22.46,23.66,24.38,32,Hw
CWHdm/12,36.98,38.08,38.74,NA,Fd
CWHdm/12,53.12,53.76,54.25,NA,Py
CWHdmz/101,,,,NA,Bl
CWHdmz/101,,,,NA,Cw
CWHdmz/101,,,,NA,Fd
CWHdmz/101,,,,NA,Hw
CWHdmz/101,,,,NA,Lw
CWHdmz/101,,,,NA,Pl
CWHdmz/101,,,,NA,Py
CWHdmz/101,,,,NA,Sx
CWHdmz/102,,,,NA,Bl
CWHdmz/102,,,,NA,Cw
CWHdmz/102,,,,NA,Fd
CWHdmz/102,,,,NA,Hw
CWHdmz/102,,,,NA,Lw
CWHdmz/102,,,,NA,Pl
CWHdmz/102,,,,NA,Py
CWHdmz/102,,,,NA,Sx
CWHdmz/110,,,,NA,Bl
CWHdmz/110,,,,NA,Cw
CWHdmz/110,,,,NA,Fd
CWHdmz/110,,,,NA,Hw
CWHdmz/110,,,,NA,Lw
CWHdmz/110,,,,NA,Pl
CWHdmz/110,,,,NA,Py
CWHdmz/110,,,,NA,Sx
CWHdmz/111,,,,NA,Bl
CWHdmz/111,,,,NA,Cw
CWHdmz/111,,,,NA,Fd
CWHdmz/111,,,,NA,Hw
CWHdmz/111,,,,NA,Lw
CWHdmz/111,,,,NA,Pl
CWHdmz/111,,,,NA,Py
CWHdmz/111,,,,NA,Sx
CWHds1/01,12.61,13.39,14.14,NA,Pl
CWHds1/01,15.36,16.85,18.16,NA,Sx
CWHds1/01,16.47,17.08,17.6,NA,Bl
CWHds1/01,16.86,17.28,17.58,NA,Hw
CWHds1/01,17.63,18.32,18.89,NA,Py
CWHds1/01,20.78,21.1,21.35,20,Cw
CWHds1/01,21.47,22.09,22.97,NA,Lw
CWHds1/01,30.09,31.11,32,33.79375029,Fd
CWHds1/02,11.38,11.45,11.54,12,Pl
CWHds1/02,12.72,13.45,14.59,NA,Hw
CWHds1/02,13.42,13.89,14.2,NA,Sx
CWHds1/02,13.45,14.11,15.19,NA,Cw
CWHds1/02,14.84,16.36,17.6,NA,Lw
CWHds1/02,16.83,16.92,17.08,NA,Bl
CWHds1/02,17.05,17.21,17.31,NA,Py
CWHds1/02,23.09,23.58,24.06,12,Fd
CWHds1/03,11.38,12.11,13.2,16,Pl
CWHds1/03,12.72,13.82,14.68,NA,Hw
CWHds1/03,13.42,14.72,16.5,NA,Sx
CWHds1/03,13.45,15.81,18.15,12,Cw
CWHds1/03,14.84,18.15,20.23,NA,Lw
CWHds1/03,15.97,16.61,17.08,NA,Bl
CWHds1/03,17.05,17.99,19.01,NA,Py
CWHds1/03,23.09,25.68,28.56,16,Fd
CWHds1/04,11.74,13.46,14.88,NA,Pl
CWHds1/04,13.94,15.39,16.96,NA,Sx
CWHds1/04,16.04,18.67,20.6,NA,Lw
CWHds1/04,17.22,18.17,19.04,NA,Bl
CWHds1/04,17.6,18.58,19.71,NA,Py
CWHds1/04,18.01,21.44,26.28,NA,Hw
CWHds1/04,18.98,20.9,22.69,20,Cw
CWHds1/04,25.6,28.13,30.68,24,Fd
CWHds1/05,14.42,14.83,15.25,NA,Pl
CWHds1/05,18.12,18.88,19.64,NA,Bl
CWHds1/05,18.64,18.82,19,NA,Sx
CWHds1/05,19.09,19.29,19.5,NA,Py
CWHds1/05,19.78,20.68,21.59,NA,Hw
CWHds1/05,21.63,21.83,22.04,NA,Lw
CWHds1/05,24.15,24.46,24.77,24,Cw
CWHds1/05,33.64,33.83,34.03,36,Fd
CWHds1/06,12.62,13.73,14.82,NA,Pl
CWHds1/06,14.86,17.76,19.95,NA,Py
CWHds1/06,16.05,17.52,18.87,NA,Sx
CWHds1/06,16.59,18.01,19.05,NA,Bl
CWHds1/06,18.95,19.94,20.55,28,Hw
CWHds1/06,20.91,21.24,21.7,NA,Lw
CWHds1/06,24.94,25.21,25.55,24,Cw
CWHds1/06,32.31,33.32,34.15,28,Fd
CWHds1/07,15.13,15.2,15.27,NA,Pl
CWHds1/07,19.24,19.68,20.12,NA,Bl
CWHds1/07,19.49,19.68,19.87,NA,Sx
CWHds1/07,20.1,20.12,20.14,NA,Py
CWHds1/07,21.94,21.98,22.02,NA,Hw
CWHds1/07,22.45,22.76,23.08,NA,Lw
CWHds1/07,27.14,27.38,27.61,28,Cw
CWHds1/07,35.54,35.61,35.68,36,Fd
CWHds1/08,15.13,15.2,15.27,NA,Pl
CWHds1/08,19.24,19.68,20.12,NA,Bl
CWHds1/08,19.49,19.68,19.87,NA,Sx
CWHds1/08,20.1,20.12,20.14,NA,Py
CWHds1/08,21.94,21.98,22.02,NA,Hw
CWHds1/08,22.45,22.76,23.08,NA,Lw
CWHds1/08,27.14,27.38,27.61,28,Cw
CWHds1/08,35.54,35.61,35.68,NA,Fd
CWHds1/09,15.13,15.2,15.27,NA,Pl
CWHds1/09,19.24,19.68,20.12,NA,Bl
CWHds1/09,19.49,19.68,19.87,NA,Sx
CWHds1/09,20.1,20.12,20.14,NA,Py
CWHds1/09,21.94,21.98,22.02,NA,Hw
CWHds1/09,22.45,22.76,23.08,NA,Lw
CWHds1/09,27.14,27.38,27.61,24,Cw
CWHds1/09,35.54,35.61,35.68,NA,Fd
CWHds1/11,1.31,7,12.69,NA,Lw
CWHds1/11,9.76,10.25,10.73,16,Pl
CWHds1/11,12.55,14.36,16.18,12,Cw
CWHds1/11,12.78,14.57,16.37,NA,Bl
CWHds1/11,13.49,13.88,14.26,NA,Sx
CWHds1/11,13.64,14.3,14.97,NA,Hw
CWHds1/11,30.68,31.3,31.91,NA,Fd
CWHds1/11,40.04,44.51,48.98,NA,Py
CWHds1/12,12.07,12.53,12.82,NA,Pl
CWHds1/12,15.11,15.61,16.08,NA,Sx
CWHds1/12,15.2,16.01,16.5,NA,Hw
CWHds1/12,17.24,17.42,17.61,NA,Bl
CWHds1/12,18.71,20.69,21.82,20,Cw
CWHds1/12,22.14,28.59,34.23,NA,Lw
CWHds1/12,32.5,33.46,34.04,NA,Fd
CWHds1/12,53.3,53.94,54.44,NA,Py
CWHds2/01,13.29,15.13,16.9,20,Hw
CWHds2/01,14.08,15.82,17.73,NA,Sx
CWHds2/01,14.75,15.42,16.26,NA,Bl
CWHds2/01,17.11,19.3,21.35,16,Cw
CWHds2/01,17.93,18.86,19.33,NA,Py
CWHds2/01,18.54,19.63,21.21,NA,Pl
CWHds2/01,18.64,19.87,21.71,NA,Lw
CWHds2/01,26.92,29.44,32,24,Fd
CWHds2/02,12.23,12.93,14.02,NA,Hw
CWHds2/02,13.1,13.56,13.87,NA,Sx
CWHds2/02,13.45,14.11,15.19,NA,Cw
CWHds2/02,14.03,15.46,16.64,NA,Lw
CWHds2/02,15.55,15.64,15.78,NA,Bl
CWHds2/02,17.07,17.17,17.32,12,Pl
CWHds2/02,17.34,17.51,17.6,NA,Py
CWHds2/02,23.09,23.58,24.06,NA,Fd
CWHds2/03,12.23,12.93,14.02,NA,Hw
CWHds2/03,13.1,13.56,13.87,NA,Sx
CWHds2/03,13.45,14.11,15.19,12,Cw
CWHds2/03,14.03,15.46,16.64,NA,Lw
CWHds2/03,15.55,15.64,15.78,NA,Bl
CWHds2/03,17.07,17.17,17.32,16,Pl
CWHds2/03,17.34,17.51,17.6,NA,Py
CWHds2/03,23.09,23.58,24.06,16,Fd
CWHds2/04,13.61,13.61,13.62,NA,Sx
CWHds2/04,15.17,15.85,16.53,NA,Lw
CWHds2/04,16.26,16.93,17.59,NA,Bl
CWHds2/04,17.61,19.09,20.58,24,Pl
CWHds2/04,17.89,17.95,18.01,NA,Py
CWHds2/04,18.98,19.71,20.45,20,Cw
CWHds2/04,19,22.13,25.26,NA,Hw
CWHds2/04,25.6,25.8,26.01,24,Fd
CWHds2/05,15.91,17.04,18.15,NA,Bl
CWHds2/05,16.31,17.41,18.55,NA,Sx
CWHds2/05,17.31,19.49,20.87,NA,Hw
CWHds2/05,19.41,19.73,20.04,NA,Py
CWHds2/05,19.44,20.05,20.83,NA,Lw
CWHds2/05,20.27,21.77,22.88,NA,Pl
CWHds2/05,21.51,23.28,24.77,24,Cw
CWHds2/05,30.22,32.14,34.03,36,Fd
CWHds2/06,15.12,17.66,20.29,NA,Py
CWHds2/06,15.33,16.6,17.6,NA,Bl
CWHds2/06,15.61,17.13,18.55,NA,Sx
CWHds2/06,18.21,19.06,19.76,28,Hw
CWHds2/06,18.94,20.58,22.23,NA,Pl
CWHds2/06,19.77,20.72,22.38,NA,Lw
CWHds2/06,23.84,24.64,25.55,24,Cw
CWHds2/06,31.94,33.15,34.15,28,Fd
CWHds2/07,17.59,18.18,18.76,NA,Bl
CWHds2/07,18.6,19.59,20.49,NA,Py
CWHds2/07,19.03,19.27,19.52,NA,Sx
CWHds2/07,20.67,21.18,21.82,NA,Lw
CWHds2/07,20.89,21.17,21.53,NA,Hw
