"Unit","Spp","SIPred","MeanPlotSiteIndex"
"BGxh2/04","Sb",10.2052368705579,NA
"BGxh2/04","Ss",23.2419484759253,NA
"BGxh2/04","Sx",13.8804763641771,NA
"BGxh2/04","Yc",14.9407422219163,NA
"BGxh2/05","At",16.7823612861277,NA
"BGxh2/05","Ba",18.813256604068,NA
"BGxh2/05","Bl",16.0051093616839,NA
"BGxh2/05","Cw",12.0669227466271,NA
"BGxh2/05","Fd",10.8682281674779,NA
"BGxh2/05","Hm",14.3790577959312,NA
"BGxh2/05","Hw",16.2733092331024,NA
"BGxh2/05","Lw",19.7955395305226,NA
"BGxh2/05","Pl",15.5881245817444,NA
"BGxh2/05","Pw",21.2084802742549,NA
"BGxh2/05","Py",12.16426035245,NA
"BGxh2/05","Sb",10.0744647346179,NA
"BGxh2/05","Ss",24.1044018254932,NA
"BGxh2/05","Sx",14.4438978352623,NA
"BGxh2/05","Yc",16.4683466935916,NA
"BGxh2/07","At",20.1712564834444,NA
"BGxh2/07","Ba",19.9982419293861,NA
"BGxh2/07","Bl",19.3087306456643,NA
"BGxh2/07","Cw",20.3059296436684,NA
"BGxh2/07","Fd",21.0773260911663,21
"BGxh2/07","Hm",16.2049481647511,NA
"BGxh2/07","Hw",22.3141620221105,NA
"BGxh2/07","Lw",23.3931113294958,NA
"BGxh2/07","Pl",22.7114315225631,NA
"BGxh2/07","Pw",22.0399234559643,NA
"BGxh2/07","Py",19.6184349669773,21
"BGxh2/07","Sb",9.89260295188822,NA
"BGxh2/07","Ss",25.0935346648905,NA
"BGxh2/07","Sx",20.2837846433279,NA
"BGxh2/07","Yc",19.7490040208552,NA
"BGxh2/Gg","At",16.7413191479233,NA
"BGxh2/Gg","Ba",18.9319499310082,NA
"BGxh2/Gg","Bl",15.8982012736443,NA
"BGxh2/Gg","Cw",12.0475046386526,NA
"BGxh2/Gg","Fd",10.9142506978782,NA
"BGxh2/Gg","Hm",14.3537759494861,NA
"BGxh2/Gg","Hw",16.2996713220156,NA
"BGxh2/Gg","Lw",19.6821866484522,NA
"BGxh2/Gg","Pl",15.2732721891859,NA
"BGxh2/Gg","Pw",21.2189713185849,NA
"BGxh2/Gg","Py",12.3336514286799,NA
"BGxh2/Gg","Sb",10.1340705081006,NA
"BGxh2/Gg","Ss",23.9358951657221,NA
"BGxh2/Gg","Sx",14.2708698119282,NA
"BGxh2/Gg","Yc",16.1308526176086,NA
"BGxh3/110","At",18.2728231942712,NA
"BGxh3/110","Ba",18.3143456271528,NA
"BGxh3/110","Bl",16.8827795543739,NA
"BGxh3/110","Cw",15.8049243422246,NA
"BGxh3/110","Fd",18.1035447835907,NA
"BGxh3/110","Hm",14.8309537779898,NA
"BGxh3/110","Hw",17.355369735602,NA
"BGxh3/110","Lw",20.4040327384555,NA
"BGxh3/110","Pl",18.6605961571989,NA
"BGxh3/110","Pw",21.1487760393573,NA
"BGxh3/110","Py",15.5511891210483,NA
"BGxh3/110","Sb",9.72512818173068,NA
"BGxh3/110","Ss",24.2880378933622,NA
"BGxh3/110","Sx",16.6630505959274,NA
"BGxh3/110","Yc",18.2423024807136,NA
"BGxh3/111","At",18.2728231942712,NA
"BGxh3/111","Ba",18.3143456271528,NA
"BGxh3/111","Bl",16.8827795543739,NA
"BGxh3/111","Cw",15.8049243422246,NA
"BGxh3/111","Fd",18.1035447835907,NA
"BGxh3/111","Hm",14.8309537779898,NA
"BGxh3/111","Hw",17.355369735602,NA
"BGxh3/111","Lw",20.4040327384555,NA
"BGxh3/111","Pl",18.6605961571989,NA
"BGxh3/111","Pw",21.1487760393573,NA
"BGxh3/111","Py",15.5511891210483,NA
"BGxh3/111","Sb",9.72512818173068,NA
"BGxh3/111","Ss",24.2880378933622,NA
"BGxh3/111","Sx",16.6630505959274,NA
"BGxh3/111","Yc",18.2423024807136,NA
"BGxh3/Gg","At",17.5034409522301,NA
"BGxh3/Gg","Ba",18.4903734070479,NA
"BGxh3/Gg","Bl",16.9174715585179,NA
"BGxh3/Gg","Cw",14.1938914942475,NA
"BGxh3/Gg","Fd",16.0133892343033,NA
"BGxh3/Gg","Hm",14.8182937801508,NA
"BGxh3/Gg","Hw",17.2308229197813,NA
"BGxh3/Gg","Lw",20.1155752608691,NA
"BGxh3/Gg","Pl",17.8196776818937,NA
"BGxh3/Gg","Pw",21.3209231413773,NA
"BGxh3/Gg","Py",13.3382128330772,NA
"BGxh3/Gg","Sb",9.90184547465254,NA
"BGxh3/Gg","Ss",24.0905097822183,NA
"BGxh3/Gg","Sx",16.6353050431018,NA
"BGxh3/Gg","Yc",17.5404498807497,NA
"BGxw1/03","At",18.8421829045278,NA
"BGxw1/03","Ba",17.0175850516374,NA
"BGxw1/03","Bl",16.6384047974576,NA
"BGxw1/03","Cw",11.7717269640795,NA
"BGxw1/03","Fd",11.7120283271578,12
"BGxw1/03","Hm",14.0256466418784,NA
"BGxw1/03","Hw",14.2296851840926,NA
"BGxw1/03","Lw",19.8518892312432,NA
"BGxw1/03","Pl",16.304069746624,NA
"BGxw1/03","Pw",20.7925104620111,NA
"BGxw1/03","Py",11.9406825793217,12
"BGxw1/03","Sb",9.77222623022891,NA
"BGxw1/03","Ss",24.7427025235721,NA
"BGxw1/03","Sx",15.2535117261807,NA
"BGxw1/03","Yc",17.2287270615337,NA
"BGxw1/05","At",17.5911674650914,NA
"BGxw1/05","Ba",17.0175850516374,NA
"BGxw1/05","Bl",16.1827973726078,NA
"BGxw1/05","Cw",10.6012611815658,NA
"BGxw1/05","Fd",15.312376609696,15
"BGxw1/05","Hm",14.008907258521,NA
"BGxw1/05","Hw",13.5474425839164,NA
"BGxw1/05","Lw",19.7548199316448,NA
"BGxw1/05","Pl",17.2630363203525,NA
"BGxw1/05","Pw",21.2409339803951,NA
"BGxw1/05","Py",14.9994498260677,15
"BGxw1/05","Sb",9.96345686689192,NA
"BGxw1/05","Ss",24.7427025235721,NA
"BGxw1/05","Sx",15.2305880947286,NA
"BGxw1/05","Yc",17.2287270615337,NA
"BGxw1/08","At",21.3483758679468,NA
"BGxw1/08","Ba",19.3920381933905,NA
"BGxw1/08","Bl",19.3293701491654,NA
"BGxw1/08","Cw",18.9999368938637,NA
"BGxw1/08","Fd",20.7128280172555,21
"BGxw1/08","Hm",14.9601645828517,NA
"BGxw1/08","Hw",19.905973038491,NA
"BGxw1/08","Lw",22.6890800455916,NA
"BGxw1/08","Pl",21.1196418138781,NA
"BGxw1/08","Pw",22.3811935854817,NA
"BGxw1/08","Py",20.2678553110377,NA
"BGxw1/08","Sb",9.97182179566555,NA
"BGxw1/08","Ss",26.561716430536,NA
"BGxw1/08","Sx",19.6935719682132,NA
"BGxw1/08","Yc",19.9232524132802,NA
"BGxw1/Gg","At",17.9943673640646,NA
"BGxw1/Gg","Ba",16.8501424800872,NA
"BGxw1/Gg","Bl",16.5148322597467,NA
"BGxw1/Gg","Cw",11.5818430677347,NA
"BGxw1/Gg","Fd",12.6847273382603,NA
"BGxw1/Gg","Hm",13.5555303047063,NA
"BGxw1/Gg","Hw",14.1219765204397,NA
"BGxw1/Gg","Lw",19.2078479636664,NA
"BGxw1/Gg","Pl",16.640297032471,NA
"BGxw1/Gg","Pw",21.103591631963,NA
"BGxw1/Gg","Py",12.8370699799136,NA
"BGxw1/Gg","Sb",10.0773236345777,NA
"BGxw1/Gg","Ss",24.6692107531571,NA
"BGxw1/Gg","Sx",14.4628558027339,NA
"BGxw1/Gg","Yc",16.5383552441228,NA
"BGxw2/110","At",18.4632305977571,NA
"BGxw2/110","Ba",16.5957929827265,NA
"BGxw2/110","Bl",16.8464513081641,NA
"BGxw2/110","Cw",14.7096212871918,NA
"BGxw2/110","Fd",16.2419660167163,NA
"BGxw2/110","Hm",14.1120928052511,NA
"BGxw2/110","Hw",15.451418280799,NA
"BGxw2/110","Lw",19.9874146095563,NA
"BGxw2/110","Pl",19.5297376339041,NA
"BGxw2/110","Pw",21.2580793444882,NA
"BGxw2/110","Py",16.0038054302999,NA
"BGxw2/110","Sb",9.71619546632272,NA
"BGxw2/110","Ss",24.8312264048895,NA
"BGxw2/110","Sx",16.9034915634249,NA
"BGxw2/110","Yc",18.4278333956541,NA
"BGxw2/111","At",18.4632305977571,NA
"BGxw2/111","Ba",16.5957929827265,NA
"BGxw2/111","Bl",16.8464513081641,NA
"BGxw2/111","Cw",14.7096212871918,NA
"BGxw2/111","Fd",16.2419660167163,NA
"BGxw2/111","Hm",14.1120928052511,NA
"BGxw2/111","Hw",15.451418280799,NA
"BGxw2/111","Lw",19.9874146095563,NA
"BGxw2/111","Pl",19.5297376339041,NA
"BGxw2/111","Pw",21.2580793444882,NA
"BGxw2/111","Py",16.0038054302999,NA
"BGxw2/111","Sb",9.71619546632272,NA
"BGxw2/111","Ss",24.8312264048895,NA
"BGxw2/111","Sx",16.9034915634249,NA
"BGxw2/111","Yc",18.4278333956541,NA
"BGxw2/113","At",19.3255604019371,NA
"BGxw2/113","Ba",17.2049032801965,NA
"BGxw2/113","Bl",16.8351137539607,NA
"BGxw2/113","Cw",16.165752809427,NA
"BGxw2/113","Fd",18.7840278799084,NA
"BGxw2/113","Hm",14.5491459015646,NA
"BGxw2/113","Hw",17.477809579725,NA
"BGxw2/113","Lw",20.9000577376678,NA
"BGxw2/113","Pl",20.7987960514822,NA
"BGxw2/113","Pw",22.0506914354533,NA
"BGxw2/113","Py",17.1646430906271,NA
"BGxw2/113","Sb",9.83125002755164,NA
"BGxw2/113","Ss",24.8497628719322,NA
"BGxw2/113","Sx",18.7996672833997,NA
"BGxw2/113","Yc",19.363880911513,NA
"BGxw2/114","At",19.9264888167751,NA
"BGxw2/114","Ba",18.4736039652216,NA
"BGxw2/114","Bl",18.4854490029233,NA
"BGxw2/114","Cw",17.5759990185128,NA
"BGxw2/114","Fd",19.7354936339029,NA
"BGxw2/114","Hm",15.2566008274855,NA
"BGxw2/114","Hw",19.3507211961771,NA
"BGxw2/114","Lw",21.7441676334661,NA
"BGxw2/114","Pl",21.3869954408602,NA
"BGxw2/114","Pw",22.5575660287606,NA
"BGxw2/114","Py",18.2429449511469,NA
"BGxw2/114","Sb",9.79970411418653,NA
"BGxw2/114","Ss",25.8201297279924,NA
"BGxw2/114","Sx",19.7565005366798,NA
"BGxw2/114","Yc",20.2281243677399,NA
"BGxw2/115","At",19.9264888167751,NA
"BGxw2/115","Ba",18.4736039652216,NA
"BGxw2/115","Bl",18.4854490029233,NA
"BGxw2/115","Cw",17.5759990185128,NA
"BGxw2/115","Fd",19.7354936339029,NA
"BGxw2/115","Hm",15.2566008274855,NA
"BGxw2/115","Hw",19.3507211961771,NA
"BGxw2/115","Lw",21.7441676334661,NA
"BGxw2/115","Pl",21.3869954408602,NA
"BGxw2/115","Pw",22.5575660287606,NA
"BGxw2/115","Py",18.2429449511469,NA
"BGxw2/115","Sb",9.79970411418653,NA
"BGxw2/115","Ss",25.8201297279924,NA
"BGxw2/115","Sx",19.7565005366798,NA
"BGxw2/115","Yc",20.2281243677399,NA
"BGxw2/Gg","At",17.5867697369579,NA
"BGxw2/Gg","Ba",16.7925004354074,NA
"BGxw2/Gg","Bl",16.793153833276,NA
"BGxw2/Gg","Cw",13.44954097261,NA
"BGxw2/Gg","Fd",15.9049753180087,NA
