Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp
MHmm1/07,21.12089901,21.13968822,21.15847743,NA,Fd
CWHds2/11,32.99487388,33.36340624,33.73193861,NA,Fd
CWHmm2/09,25.66267968,25.94931597,26.23595225,NA,Fd
MHmm1/08,20.62613264,20.85651381,21.08689497,NA,Fd
CWHds2/12,32.74308173,33.45862061,33.84644646,NA,Fd
CWHmm2/10,25.46684134,26.02337158,26.32501391,NA,Fd
MHmm1/09,20.46872946,20.9160353,21.15847743,NA,Fd
CWHmm2/01,22.90651975,24.62129198,26.21291179,28,Fd
CWHmm1/03,28.3927182,31.68390708,35.03718865,32,Fd
CWHmm1/02,23.65869307,24.29497139,24.90160107,20,Fd
CWHmm1/04,32.43285939,35.02658536,37.54905891,36,Fd
CWHmm1/05,37.06300129,38.43015893,39.71853723,40,Fd
CWHmm1/06,36.08970469,36.5410043,37.56053974,NA,Fd
CWHmm1/07,37.98073524,38.70809521,39.50413215,36,Fd
CWHmm1/11,36.66097097,37.07045138,37.47993179,NA,Fd
CWHmm1/12,36.38120192,37.17624512,37.60716273,NA,Fd
CWHms1/01,22.90651975,24.62129198,26.21291179,24,Fd
CWFwmz/103,14.7308001,15.51036919,16.66056339,NA,Fd
CWFwmz/102,13.73473411,14.35252967,15.00290913,NA,Fd
CWFwmz/110,21.17106097,22.36071105,23.37946897,NA,Fd
CWFwmz/111,22.9478559,23.85512846,24.59677176,NA,Fd
CWHms2/01,22.90651975,24.62129198,26.21291179,24,Fd
CWHmsy/101,20.02247853,20.82642456,21.82485586,NA,Fd
CMXwmz/102,13.40786361,14.83439461,17.17275312,NA,Fd
CWHmhz/102,14.15122523,14.90012262,16.0050631,NA,Fd
CWHmhz/103,16.98283793,18.05985579,19.39941047,NA,Fd
CMXwmz/110,21.8219153,23.81831825,25.35294149,NA,Fd
CWHmhz/110,22.04498569,22.91656214,23.62902591,NA,Fd
CWHmsz/101,19.81341375,20.60896538,21.59697156,NA,Fd
ICHxw/103,15.16713634,15.34701891,15.52690148,NA,Fd
ICHxw/104,15.52690148,17.63537573,18.97422587,NA,Fd
ICHxw/102,14.75191075,14.95952355,15.16713634,NA,Fd
ICHxw/110,21.84674691,22.68885055,23.10990237,NA,Fd
ICHxw/111,21.84674691,23.22528656,24.52436431,NA,Fd
ICHxw/112,22.68477984,23.51962007,24.52436431,NA,Fd
ICHxw/113,23.40755664,24.00328643,24.6320213,NA,Fd
CWHvh1/01,21.13459816,21.56031337,21.97935069,NA,Fd
CWHvh1/03,19.14891206,19.84959442,20.502758,NA,Fd
CWHvh1/04,20.68148177,21.31518836,21.91292035,NA,Fd
CWHvh1/02,16.61460444,17.23143315,17.80695143,NA,Fd
CWHvh1/05,21.68820546,22.4882269,23.24214894,NA,Fd
CWHvh1/06,23.01565118,23.10610153,23.24214894,NA,Fd
CWHvh1/11,21.13459816,21.5592177,21.97935069,NA,Fd
CWHvh1/07,21.96754835,22.52662947,23.11668523,NA,Fd
CWHvh1/12,21.45294885,21.69256504,21.93218123,NA,Fd
CWHvh1/13,21.28923602,21.7544725,22.00663313,NA,Fd
CWHdm/08,38.89649259,39.64139002,40.45662029,NA,Fd
CWHds1/08,35.39832744,35.47602319,35.55371894,NA,Fd
CWHvm1/09,33.78633363,35.09182385,35.74668351,NA,Fd
CWHdm/15,38.44551038,38.47971161,38.51391284,NA,Fd
CWHvm1/11,33.78633363,33.81639004,33.84644646,NA,Fd
CWHdm/09,38.89649259,39.64139002,40.45662029,NA,Fd
CWHds1/09,35.39832744,35.47602319,35.55371894,NA,Fd
CWHvm1/10,33.78633363,34.64620662,35.55371894,NA,Fd
CWHxm2/08,22.81683739,23.25379719,23.73201451,NA,Fd
CWHxm2/15,22.55228943,22.57235201,22.59241459,NA,Fd
CWHxm2/12,21.85592151,22.33354184,22.59241459,NA,Fd
CWHxm2/09,22.81683739,23.25379719,23.73201451,NA,Fd
CWHvm1/01,31.80834893,32.97149922,33.80448577,35.78333325,Fd
CWHxm2/02,14.21290424,14.59514694,14.95957829,NA,Fd
CWHxm2/03,14.21290424,17.48655295,21.0485087,NA,Fd
CWHxm2/04,16.07482217,19.35419058,22.55750886,NA,Fd
CWHxm2/05,22.26551088,22.41150987,22.55750886,NA,Fd
CWHxm2/06,21.68080524,21.95192242,22.56440594,NA,Fd
CWHxm2/07,22.81683739,23.25379719,23.73201451,NA,Fd
CWHxm2/11,22.02399211,22.26998651,22.5159809,NA,Fd
CWHvh1/08,23.01565118,23.01565118,23.01565118,NA,Fd
CWHvh1/18,21.96754835,21.98709074,22.00663313,NA,Fd
CWHvh1/09,23.01565118,23.01565118,23.01565118,NA,Fd
CWHdm/10,38.89649259,39.64139002,40.45662029,NA,Fd
CWHds1/10,35.39832744,35.47602319,35.55371894,NA,Fd
CWHxm2/10,22.81683739,23.25379719,23.73201451,NA,Fd
CWHdm/13,40.27980011,40.3682102,40.45662029,36,Fd
