Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp,Diff,Mean,SD
ICHdw1/101,NA,NA,NA,NA,Lw,#VALUE!,-0.840533946,3.792588427
CWHvm2/11,18.84465568,19.90938229,20.63843394,16,Hw,-3.909382294,,
CWHvm2/11,18.84465568,19.90938229,20.63843394,16,Hw,-3.909382294,,
CWHvh1/13,18.84465568,19.90938229,20.63843394,16,Hw,-3.909382294,,
CWHwm/09,18.84465568,19.90938229,20.63843394,16,Hw,-3.909382294,,
CWHdm/12,21.67030345,23.9047768,25.3467095,20,Cw,-3.9047768,,
IDFww/03,21.29282377,21.86547425,22.41144096,18,Fd,-3.865474248,,
IDFww/03,21.29282377,21.86547425,22.41144096,18,Fd,-3.865474248,,
CWHvm2/09,11.17501242,15.74625956,21.28065367,12,Cw,-3.746259561,,
CWHvm2/09,11.17501242,15.74625956,21.28065367,12,Cw,-3.746259561,,
CWHvm1/12,11.17501242,15.74625956,21.28065367,12,Cw,-3.746259561,,
CWHvm1/12,11.17501242,15.74625956,21.28065367,12,Cw,-3.746259561,,
CWHds1/09,27.59708471,27.73258236,27.86808001,24,Cw,-3.732582356,,
CWHds2/09,27.59708471,27.73258236,27.86808001,24,Cw,-3.732582356,,
CWHds1/03,14.71612821,15.71105834,16.67884794,12,Cw,-3.711058341,,
CWHds2/03,14.71612821,15.71105834,16.67884794,12,Cw,-3.711058341,,
CWHdm/13,31.53952538,31.69437984,31.84923429,28,Cw,-3.694379835,,
CWHmm2/07,18.5151328,19.65160449,20.65168447,16,Cw,-3.651604494,,
CDFmm/12,31.51203063,31.64343021,31.77482979,28,Fd,-3.64343021,,
CWHvm2/02,15.03574725,15.57114026,16.01192098,12,Pl,-3.571140257,,
CWHvm2/02,15.03574725,15.57114026,16.01192098,12,Pl,-3.571140257,,
CWHvh1/02,15.03574725,15.57114026,16.01192098,12,Pl,-3.571140257,,
CWHvm2/02,11.14195314,11.53978567,12.3110157,8,Hw,-3.539785667,,
CWHvm2/02,11.14195314,11.53978567,12.3110157,8,Hw,-3.539785667,,
CDFmm/13,31.46517995,31.53424283,31.60330572,28,Fd,-3.534242835,,
CDFmm/02,18.92695446,19.43597711,19.92128086,16,Fd,-3.435977109,,
CWHwm/01,20.3357244,23.02656476,24.48398909,19.60117671,Hw,-3.425388049,,
CWHms1/08,22.39923295,23.21050246,23.88692572,20,Cw,-3.210502461,,
CWHws2/05,21.27294004,23.17039139,24.48398909,20,Hw,-3.170391386,,
CWHws2/05,21.27294004,23.17039139,24.48398909,20,Hw,-3.170391386,,
CDFmm/08,26.29078298,27.06894162,27.86808001,24,Cw,-3.068941622,,
CWHdm/09,29.86564393,30.94733661,31.84923429,28,Cw,-2.947336615,,
CWHds1/04,24.08222485,26.94365529,29.75527966,24,Fd,-2.943655289,,
CWHds2/04,24.08222485,26.94365529,29.75527966,24,Fd,-2.943655289,,
CWHws2/11,13.54393965,14.9404855,15.84169344,12,Cw,-2.9404855,,
CWHws2/11,13.54393965,14.9404855,15.84169344,12,Cw,-2.9404855,,
CWHds1/11,13.03751449,14.84679991,16.65608534,12,Cw,-2.846799913,,
CWHds2/11,13.03751449,14.84679991,16.65608534,12,Cw,-2.846799913,,
