Unit,SImin,SImean,SImax,MeanPlotSiteIndex,Spp
CDFmm/06,23.31847019,23.75516004,24.0012036,NA,Hw
CDFmm/06,31.33863288,31.46808794,31.65661844,32,Fd
CDFmm/06,19.15153996,19.61379157,19.99473116,NA,Py
CDFmm/06,31.92502574,33.25831012,34.03760192,NA,Ba
CDFmm/06,32.37362688,34.24789439,35.86560027,NA,Ss
CDFmm/07,18.31905263,18.85032686,19.17991394,NA,Pl
CDFmm/07,20.41779183,21.16411907,21.83184595,NA,Sx
CDFmm/07,19.37197616,20.23834844,20.9485988,NA,Bl
CDFmm/07,26.29078298,27.06894162,27.86808001,28,Cw
CDFmm/07,23.31847019,23.75516004,24.0012036,NA,Hw
CDFmm/07,31.33863288,31.46808794,31.65661844,32,Fd
CDFmm/07,19.15153996,19.61379157,19.99473116,NA,Py
CDFmm/07,31.92502574,33.25831012,34.03760192,NA,Ba
CDFmm/07,32.37362688,34.24789439,35.86560027,NA,Ss
CDFmm/08,18.31905263,18.85032686,19.17991394,NA,Pl
CDFmm/08,20.41779183,21.16411907,21.83184595,NA,Sx
CDFmm/08,19.37197616,20.23834844,20.9485988,NA,Bl
CDFmm/08,26.29078298,27.06894162,27.86808001,24,Cw
CDFmm/08,23.31847019,23.75516004,24.0012036,NA,Hw
CDFmm/08,31.33863288,31.46808794,31.65661844,NA,Fd
CDFmm/08,19.15153996,19.61379157,19.99473116,NA,Py
CDFmm/08,31.92502574,33.25831012,34.03760192,NA,Ba
CDFmm/08,32.37362688,34.24789439,35.86560027,NA,Ss
CDFmm/09,18.31905263,18.85032686,19.17991394,NA,Pl
CDFmm/09,20.41779183,21.16411907,21.83184595,NA,Sx
CDFmm/09,19.37197616,20.23834844,20.9485988,NA,Bl
CDFmm/09,26.29078298,27.06894162,27.86808001,NA,Cw
CDFmm/09,23.31847019,23.75516004,24.0012036,NA,Hw
CDFmm/09,31.33863288,31.46808794,31.65661844,NA,Fd
CDFmm/09,19.15153996,19.61379157,19.99473116,NA,Py
CDFmm/09,31.92502574,33.25831012,34.03760192,NA,Ba
CDFmm/09,32.37362688,34.24789439,35.86560027,NA,Ss
CDFmm/10,12.38386774,13.00386571,13.62386367,16,Pl
CDFmm/10,14.77198019,15.06441696,15.35685373,NA,Sx
CDFmm/10,14.78678553,16.08575312,17.38472071,NA,Bl
CDFmm/10,13.03751449,14.84679991,16.65608534,8,Cw
CDFmm/10,15.77842952,16.28016948,16.78190943,NA,Hw
CDFmm/10,32,32,32,NA,Fd
CDFmm/10,20.23638909,20.23638909,20.23638909,NA,Py
CDFmm/10,22.27252406,23.76120504,25.24988602,NA,Ba
CDFmm/10,35.94840393,36.21481649,36.48122905,NA,Ss
CDFmm/11,15.27641234,15.84771749,16.20241349,NA,Pl
CDFmm/11,16.4435793,16.88597114,17.19444413,NA,Sx
CDFmm/11,18.08375729,18.1983316,18.33333535,NA,Bl
CDFmm/11,18.96151551,20.9166797,22.17837081,16,Cw
CDFmm/11,16.84411547,17.79581118,18.44746703,NA,Hw
