"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"CWFwmz/110",22.7721923938319,24.0496953865209,25.940937606727,NA,"Pl"
"CWFwmz/111",23.4350272793392,25.1307301480309,26.290091680635,NA,"Pl"
"CWFwsz/101",19.1932843175367,19.54518269754,20.1856035977023,NA,"Pl"
"CWFwsz/102",9.86571405513786,10.8197617994428,12.6510844582795,NA,"Pl"
"CWFwsz/103",18.9651531704402,19.400175315765,20.1856035977023,NA,"Pl"
"CWFwsz/110",22.6243301380444,24.4305459127551,26.1193873323874,NA,"Pl"
"CWHdm/01",19.7367403343456,21.160506858387,22.8165064390534,NA,"Pl"
"CWHdm/02",17.6051794771778,17.7659712704701,17.8757827847242,16,"Pl"
"CWHdm/03",19.0172553979455,20.2370964287172,21.7409953846905,NA,"Pl"
"CWHdm/04",20.6076682876147,22.5471108903126,23.9243780532497,NA,"Pl"
"CWHdm/05",22.0532844097841,23.3437491007733,24.2392062613701,NA,"Pl"
"CWHdm/06",18.5481442711438,20.9629462878392,23.1737154329436,NA,"Pl"
"CWHdm/07",23.0275346786025,23.5659401442536,24.2463900864941,NA,"Pl"
"CWHdm/08",23.0275346786025,23.5659401442536,24.2463900864941,NA,"Pl"
"CWHdm/09",23.0275346786025,23.5659401442536,24.2463900864941,NA,"Pl"
"CWHdm/10",23.0275346786025,23.5659401442536,24.2463900864941,NA,"Pl"
"CWHdm/11",15.6551321836158,16.4389059050141,17.2226796264125,16,"Pl"
"CWHdm/12",19.3117578048154,20.0339762462862,20.4823670736157,NA,"Pl"
"CWHdm/13",23.6752392558173,23.9608146711557,24.2463900864941,NA,"Pl"
"CWHdm/14",23.0275346786025,23.1710656173515,23.3145965561004,NA,"Pl"
"CWHdm/15",20.3078038604275,20.3950854670216,20.4823670736157,NA,"Pl"
"CWHdmz/101",20.8647967268737,21.4576855683008,21.9092547239778,NA,"Pl"
"CWHdmz/102",17.4902003012171,18.8245709345521,20.4730799000751,NA,"Pl"
"CWHdmz/110",21.4721126545811,23.0257836868886,24.0880372588061,NA,"Pl"
"CWHdmz/111",20.2680615011394,22.1129362686818,23.1623292586638,NA,"Pl"
"CWHds1/01",12.4900731131959,13.179751017091,13.7584331205846,NA,"Pl"
"CWHds1/02",11.1411497094197,11.2429041643196,11.3123965839629,12,"Pl"
"CWHds1/03",11.1411497094197,11.8382918524093,12.7452014256043,16,"Pl"
"CWHds1/04",11.8581078484262,13.6368348250194,14.9368436585453,NA,"Pl"
"CWHds1/05",13.9560601192578,14.5481056144263,15.1401511095948,NA,"Pl"
"CWHds1/06",12.4993887769513,13.614032883297,14.6651065555227,NA,"Pl"
"CWHds1/07",14.9824876989936,15.1632094269225,15.3439311548515,NA,"Pl"
"CWHds1/08",14.9824876989936,15.1632094269225,15.3439311548515,NA,"Pl"
"CWHds1/09",14.9824876989936,15.1632094269225,15.3439311548515,NA,"Pl"
"CWHds1/10",14.9824876989936,15.1632094269225,15.3439311548515,NA,"Pl"
"CWHds1/11",9.90709419375814,10.4030925662671,10.899090938776,16,"Pl"
"CWHds1/12",12.2211298745585,12.6781739955663,12.9619307923705,NA,"Pl"
"CWHds2/01",18.7351096697938,19.7696265256366,20.637649680877,NA,"Pl"
"CWHds2/02",16.7117245641295,16.8643562464794,16.9685948759443,12,"Pl"
"CWHds2/03",16.7117245641295,17.7574377786139,19.1178021384065,16,"Pl"
"CWHds2/04",17.7871617726392,20.4552522375291,22.405265487818,24,"Pl"
"CWHds2/05",20.9340901788866,21.8221584216395,22.7102266643923,NA,"Pl"
"CWHds2/06",18.7490831654269,20.4210493249454,21.9976598332841,NA,"Pl"
"CWHds2/07",22.4737315484904,22.7448141403838,23.0158967322772,NA,"Pl"
"CWHds2/08",22.4737315484904,22.7448141403838,23.0158967322772,NA,"Pl"
"CWHds2/09",22.4737315484904,22.7448141403838,23.0158967322772,NA,"Pl"
"CWHds2/10",22.4737315484904,22.7448141403838,23.0158967322772,NA,"Pl"
"CWHds2/11",14.8606412906372,15.6046388494006,16.348636408164,16,"Pl"
"CWHds2/12",18.3316948118378,19.0172609933494,19.4428961885558,NA,"Pl"
"CWHdsz/101",18.122927156789,19.132791763917,20.1999104128278,NA,"Pl"
"CWHdsz/102",16.1256274409163,16.4955166256232,17.1633479762194,NA,"Pl"
"CWHdsz/110",19.2369402781854,20.7727234273713,22.2087058998053,NA,"Pl"
"CWHmhz/101",19.405651386366,19.9570775190147,20.3770669263696,NA,"Pl"
"CWHmhz/102",16.2670518273479,16.6401850006181,17.3138733412349,NA,"Pl"
"CWHmhz/103",17.5717992295005,18.3760258770396,19.0413286334279,NA,"Pl"
"CWHmhz/110",19.9704956706766,21.4155132673839,22.4034798778615,NA,"Pl"
"CWHmm1/01",17.6173604589611,18.8882394206603,20.366413680354,NA,"Pl"
"CWHmm1/02",15.7146918660329,15.8582174398251,15.9562371227305,20,"Pl"
"CWHmm1/03",16.9751355902832,18.0639870813443,19.4063936567164,NA,"Pl"
"CWHmm1/04",18.3947660196872,20.1259464903415,21.3553193070639,NA,"Pl"
"CWHmm1/05",19.6851483157559,20.8370397241439,21.6363404853916,NA,"Pl"
"CWHmm1/06",16.5563987737588,18.7118933916373,20.6852646911055,NA,"Pl"
"CWHmm1/07",20.5547811868509,21.0353713451428,21.6427528936485,NA,"Pl"
"CWHmm1/08",20.5547811868509,21.0214338732456,21.6427528936485,NA,"Pl"
"CWHmm1/09",20.5547811868509,21.0214338732456,21.6427528936485,NA,"Pl"
"CWHmm1/10",20.5547811868509,21.0214338732456,21.6427528936485,NA,"Pl"
"CWHmm1/11",13.9740454623855,14.6736556277027,15.37326579302,16,"Pl"
"CWHmm1/12",17.2380136020505,17.8826784452799,18.2829199592146,NA,"Pl"
"CWHmm2/01",15.995278209123,17.1491436028551,18.4912180061372,NA,"Pl"
"CWHmm2/02",14.2677939157443,14.3981046673621,14.4870993894542,16,"Pl"
"CWHmm2/03",15.4121848750648,16.4007826033403,17.6195898527493,NA,"Pl"
"CWHmm2/04",16.7011057508878,18.2728913383383,19.389072180072,NA,"Pl"
"CWHmm2/05",17.8726787495686,18.9185121243687,19.6442189110751,NA,"Pl"
"CWHmm2/06",16.0072082140252,17.4346652371808,18.780711465507,NA,"Pl"
"CWHmm2/07",15.0320023901623,16.5434033067307,18.0643474489784,NA,"Pl"
