ID1,ID2,lat,long,el
01OK063,177,49.66,-119.89,1452
01OK064,178,49.68,-119.9,1563
01OK065,179,49.98,-118.87,1800
01OK066,180,49.77,-120.07,1767
01OK067,181,49.78,-120.05,1763
01OK068,182,49.82,-120.01,1336
01OK069,183,49.95,-118.92,1844
01OK070,184,49.93,-118.97,1640
01OK071,185,49.84,-118.84,1650
01OK072,186,49.84,-118.84,1668
01OK073,187,49.85,-118.91,1614
01OK074,188,49.84,-118.94,1491
01OK075,189,49.84,-118.94,1486
01OK076,190,49.84,-118.94,1473
01OK077,191,49.81,-118.93,1714
01OK078,192,49.81,-118.96,1525
01OK079,193,49.81,-118.95,1554
01OK080,194,49.87,-118.93,1564
01OK081,195,49.85,-118.97,1537
01OK082,196,49.78,-119.08,1270
01OK083,197,49.92,-119.24,1379
01OK084,198,49.87,-118.92,1590
01OK085,199,50.05,-119.02,1566
01OK086,200,50.05,-119.02,1559
01OK087,201,50.06,-119,1690
01OK088,202,49.59,-119.16,1260
01OK089,203,49.61,-119.13,1650
01OK090,204,49.67,-119.14,1340
01OK091,205,50.05,-119.25,1488
01OK092,206,50.06,-119.22,1401
01OK093,207,49.69,-119.17,1430
01OK094,208,49.69,-119.17,1430
01OK095,209,49.71,-119.17,1360
01OK096,210,49.66,-119.07,1007
01OK097,211,49.68,-119.09,1030
01OK098,212,49.73,-119.11,1148
01OK099,213,49.61,-119.53,1200
01OK100,214,49.61,-119.54,1230
01OK101,215,49.45,-119.87,1665
01OK102,216,49.42,-119.89,1680
01OK103,217,49.4,-119.9,1850
01OK104,218,49.42,-119.97,1808
01OK105,219,49.41,-119.98,1745
01OK106,220,49.31,-119.91,1870
01OK107,221,49.32,-119.94,1740
01OK108,222,49.33,-119.93,1822
01OK109,223,49.4,-120.04,1550
01OK110,224,49.39,-120.04,1620
01OK111,225,49.39,-120.05,1652
01OK112,226,49.39,-120,1865
01OK113,227,49.36,-120,1620
01OK114,228,49.37,-120,1685
01OK115,229,49.37,-119.85,1390
01OK116,230,49.38,-119.88,1640
01OK117,231,49.46,-119.45,1210
01OK118,232,50.12,-119.93,1240
01OK120,233,50.14,-119.83,1383
01OK121,234,50.22,-119.81,1555
01OK122,235,50.22,-119.79,1380
01OK123,236,50.22,-119.89,1405
01OK124,237,50.06,-119.93,1460
01OK125,238,50.06,-119.89,1475
01OK126,239,50.09,-119.84,1515
01OK127,240,50.62,-119.53,1560
01OK128,241,50.61,-119.57,1595
01OK129,242,50.36,-119.65,1646
01OK130,243,50.37,-119.66,1645
01OK131,244,50.09,-119.77,1645
01OK132,245,50.05,-119.77,1675
01OK133,246,50.02,-119.8,1740
01OK134,247,49.91,-120.04,1650
01OK135,248,49.92,-120.05,1635
01OK136,249,49.95,-120.08,1565
01OK138,250,49.91,-119.63,1410
01OK139,251,49.92,-119.65,1495
01OK140,252,49.91,-119.63,1370
01OK141,253,49.96,-119.94,1577
01OK142,254,49.98,-119.91,1475
01OK143,255,49.98,-119.94,1450
01OK144,256,49.82,-120.1,1635
01OK145,257,49.82,-119.86,1200
01OK146,258,49.81,-120.08,1421
01OK147,259,49.8,-120.14,1519
01OK148,260,49.77,-119.89,1350
01OK149,261,49.75,-119.85,930
01OK150,262,49.76,-119.85,958
01OK151,263,49.76,-119.36,1527
01OK152,264,49.77,-119.33,1450
01OK153,265,49.96,-120.12,1485
01OK154,266,49.95,-120.1,1535
01OK155,267,49.97,-120.08,1466
01OK156,268,49.95,-120.06,1536
01OK158,269,50.01,-120.05,1485
01OK159,270,50,-120.05,1470
01OK160,271,50,-120,1438
01OK161,272,49.8,-120.03,1304
01OK162,273,49.8,-120.03,1302
01OK163,274,49.84,-119.99,1379
01OK164,275,49.84,-120.01,1457
01OK165,276,49.82,-120.15,1580
01OK166,277,49.81,-120.01,1325
01OK167,278,50.41,-119.7,1120
01OK168,279,50.56,-119.66,876
01OK170,280,49.77,-119.89,1320
01OK171,281,49.77,-119.89,1310
01OK172,282,49.76,-119.86,1140
01OK173,283,49.76,-119.87,1131
01OK174,284,49.86,-119.85,760
01OK175,285,49.84,-119.85,1170
01OK176,286,49.82,-119.84,1112
