SMRLevel,CMD,aSMR
0,5,6
0,40,5.5
0,75,5
0,150,4.5
0,225,4
0,300,3.5
0,375,3
0,450,2.5
0,525,2
0,600,1.5
0,675,1
0,725,0.5
0,9999,0
5,0,6.5
5,75,6
5,100,5.5
5,125,5
5,150,4.5
5,175,4
5,200,3.5
5,9999,3
6,0,8
6,5,7.5
6,25,7
6,50,6.5
6,75,6
6,100,5.5
6,9999,5
7,25,8
7,50,7.5
7,9999,7
