SS_NoSpace,TreeSpp,MeanPlotSiteIndex,Source
CWHdm_OR,Sx,22,Simpson E. Or. Cascades
IWFdw_OR,Sx,24,Simpson E. Or. Cascades
CWHms_OR,Sx,26,Simpson E. Or. Cascades
ESSFmcp,At,0,WHM - known limit
CWHvh1,At,0,Added to have coastal entry
CWHwm,At,0,Added to have coastal entry
BWBSmw,At,22.4,estimate
IDFdk_WA,At,22.4,estimate
IDFdh_UT,At,22.4,estimate
IDFdx_MT,At,22.4,estimate
IDFdh_MT,At,22.4,estimate
BGwm_WA,At,0,WHM - known limit
SBSdk,At,26,estimate
IDFdk3,At,26,estimate
BWBSmw,At,26,estimate
MSdm1,At,30,estimate
ICHdw1,At,30,estimate
IDFww,Ep,28,estimate-Wang/Kimmins
CWHdm,Ep,28,estimate-Wang/Kimmins
ICHmw1,Ep,22,estimate-Wang/Kimmins
ICHmw2,Ep,30,estimate-Simard
ICHmw3,Ep,30,estimate-Simard
IDFmw2,Ep,25,estimate-Simard
BWBSmw,Ep,20,estimate
ESSFmc,Ep,0,estimate
SBSdw3,Ep,22,estimate
SBSmh,Ep,26,estimate
PPxh2,Ep,0,estimate
SBSmc2,Ep,0,estimate
CWHds1,Ep,26,estimate
CWHms1,Ep,27,estimate
CWHms2,Ep,26,estimate
CWHws2,Ep,22,estimate
CWHds_WA,Ep,26,estimate
CWHds2,Ep,27,estimate
MHmm2,Ep,0,estimate
CDFmm,Ep,0,estimate
ESSFvc,Ep,0,estimate
IMAunp,Ep,0,estimate
BAFAun,Ep,0,estimate
CMXwm_CA,Py,33,estimate-Powers
CMXxm_CA,Py,13,estimate-Powers
MHRFmm_OR,Py,16,Simpson E. Or. Cascades
IGFmm_OR,Py,19,Johnson Blue-Ochoco MTns
PPxk_OR,Py,19,Simpson E. Or. Cascades
IDFxx_WA,Py,22,Simpson E. Or. Cascades
CWHdm_OR,Py,33,Simpson E. Or. Cascades
IWFdw_OR,Py,35,Simpson E. Or. Cascades
MHdm_OR,Py,0,WHM - known limit
ESSFmc,Py,0,WHM - known limit
GBDdw_UT,Py,0,WHM - known limit
SGPdm_CO,Py,0,WHM - known limit
CVGdm_CA,Py,0,WHM - known limit
CCHun_CA,Py,0,WHM - known limit
JPWxh_CA,Py,0,WHM - known limit
MSSDun_NV,Py,0,WHM - known limit
ESSFmw,Pw,14,estimate
MHmm1,Pw,10,estimate
MHmmp,Pw,0,estimate
IMAunp,Pw,0,estimate
MHRFmm_OR,Pw,14,Simpson E. Or. Cascades
MHdm_OR,Pw,14,Simpson E. Or. Cascades
IGFmm_OR,Pw,21,Johnson Blue-Ochoco MTns
IWFdw_OR,Pw,21,Simpson E. Or. Cascades
CWHms_OR,Pw,27,Simpson E. Or. Cascades
CWHdm_OR,Pw,28,Simpson E. Or. Cascades
CWHdm,Pw,30,estimate
ESSFwcp,Pw,0,
CWHxm_OR,Pw,0,
BGxh2,Pw,0,
GBDdw_UT,Pw,0,
ICHmc2,Ba,0,
ESSFmc,Ba,0,
CWHxm2,Ba,0,
