SS_NoSpace,TreeSpp,MeanPlotSiteIndex
CWHws2/01,Cw,16
CWHws2/01,Hw,17.99285698
CWHwh1/15,Pl,20
CWHwm/02,Pl,20
CWHws2/01,Sx,20
CWHws2/02,Cw,8
CWHws2/02,Hw,12
CWHwm/08,Pl,16
CWHws2/03,Cw,16
CWHws2/03,Fd,20
CWHws2/03,Hw,16
CWHwm/10,Pl,12
CWHws2/04,Ba,23.6114284
CWHws2/04,Cw,16
CWHws2/04,Hw,24
CWHws2/04,Sx,24
CWHws2/05,Ba,20
CWHws2/05,Cw,16
CWHws2/05,Hw,20
CWHws2/05,Sx,20
CWHws2/06,Ba,23.97857148
CWHws2/06,Cw,20
CWHws2/06,Hw,24
CWHws2/06,Sx,24
CWHws2/07,Ba,28
CWHws2/07,Cw,20
CWHws2/07,Hw,28
CWHws2/07,Sx,28
CWHws2/08,Ba,28
CWHws2/08,Cw,20
CWHws2/08,Sx,28
CWHws2/10,Cw,8
CWHws1/01,Pl,20
CWHws1/02,Pl,20.74499989
CWHws2/11,Ba,12
CWHws2/11,Cw,12
CWHws2/11,Hw,12
CWHws2/11,Sx,12
CWHxm/01,Cw,24
CWHxm/01,Fd,34.06156869
CWHxm/01,Hw,24
CWHxm/02,Fd,20
CWHws1/03,Pl,20.7099999
CWHxm/03,Cw,20
CWHxm/03,Fd,24
CWHws1/04,Pl,24
CWHxm/04,Cw,28
CWHxm/04,Fd,28
CWHxm/05,Bg,32
CWHxm/05,Cw,24
CWHxm/05,Fd,36
CWHxm/06,Cw,24
CWHxm/06,Fd,32
CWHxm/06,Hw,24
CWHxm/07,Bg,40
CWHxm/07,Cw,28
CWHxm/07,Fd,40
CWHxm/08,Bg,40
CWHxm/08,Cw,24
CWHxm/09,Bg,28
CWHxm/09,Cw,24
CWHxm/11,Cw,8
CWHws1/10,Pl,12
CWHxm/12,Cw,16
CWHxm/12,Hw,32
CWHxm/12,Ss,28
CWHxm/13,Bg,36
CWHxm/13,Cw,24
CWHxm/13,Fd,36
CWHxm/14,Bg,28
CWHxm/14,Cw,28
CWHxm/15,Cw,24
CWHxm2/01,Cw,24
CWHxm2/01,Fd,34.06156869
CWHxm2/01,Hw,24
CWHxm2/02,Fd,20
CWHws2/01,Pl,20
CWHxm2/03,Cw,20
CWHxm2/03,Fd,24
CWHws2/02,Pl,12
CWHxm2/04,Cw,28
CWHxm2/04,Fd,28
CWHxm2/05,Bg,32
CWHxm2/05,Cw,24
CWHxm2/05,Fd,36
CWHxm2/06,Cw,24
