SS_NoSpace,TreeSpp,MeanPlotSiteIndex
CWHvm2/03,Cw,16
CWHvm2/03,Hw,16
CWHvm2/03,Yc,16
CWHvm2/11,Cw,16
CWHvm2/11,Hm,16
CWHvm2/11,Hw,16
CWHvm2/11,Yc,16
CWHwm/02,Cw,16
CWHwm/02,Ss,16
CWHwm/02,Yc,16
CWHwm/08,Hm,16
CWHwm/08,Hw,16
CWHwm/08,Pl,16
CWHwm/09,Cw,16
CWHwm/09,Hw,16
CWHws1/03,Cw,16
CWHws2/01,Cw,16
CWHws2/03,Cw,16
CWHws2/03,Hw,16
CWHws2/03,Pl,16
CWHws2/04,Cw,16
CWHws2/05,Cw,16
MHmm1/05,Ba,16
MHmm1/05,Hm,16
MHmm2/05,Ba,16
MHmm2/05,Hm,16
CDFmm/02,Fd,16
CDFmm/02,Pl,16
CDFmm/03,Pl,16
CDFmm/10,Pl,16
CDFmm/11,Cw,16
CWHdm/02,Fd,16
CWHdm/02,Pl,16
CWHdm/11,Pl,16
CWHds1/03,Fd,16
CWHds1/03,Pl,16
CWHds1/11,Pl,16
CWHds2/01,Cw,16
CWHds2/03,Fd,16
CWHds2/03,Pl,16
CWHds2/11,Pl,16
CWHmm1/11,Pl,16
CWHmm2/02,Fd,16
CWHmm2/02,Pl,16
CWHmm2/07,Cw,16
CWHmm2/07,Yc,16
CWHmm2/09,Pl,16
CWHmm2/10,Cw,16
CWHmm2/10,Yc,16
CWHms1/01,Ba,16
CWHms1/03,Fd,16
CWHms1/04,Ba,16
CWHms2/03,Cw,16
CWHms2/03,Fd,16
CWHms2/03,Pl,16
CWHms2/04,Ba,16
CWHms2/05,Cw,16
CWHvh1/01,Cw,16
CWHvh1/01,Hw,16
CWHvh1/01,Pl,16
CWHvh1/09,Cw,16
CWHvh1/11,Hw,16
CWHvh1/13,Cw,16
CWHvh1/13,Hw,16
CWHvh1/15,Cw,16
CWHvh2/01,Ba,16
CWHvh2/01,Yc,16
CWHvh2/03,Cw,16
CWHvh2/03,Hw,16
CWHvh2/03,Pl,16
CWHvh2/11,Hw,16
CWHvh2/11,Pl,16
CWHvh2/13,Cw,16
CWHvh2/13,Hw,16
CWHvh2/13,Yc,16
CWHvh2/14,Ss,16
CWHvh2/15,Cw,16
CWHvh2/15,Hw,16
CWHvh2/16,Ss,16
CWHvh2/18,Cw,16
CWHvm1/03,Cw,16
CWHvm1/03,Pl,16
CWHvm1/12,Hm,16
CWHvm1/12,Hw,16
CWHvm1/12,Pl,16
CWHvm2/03,Cw,16
CWHvm2/03,Hw,16
CWHvm2/03,Yc,16
CWHvm2/11,Cw,16
CWHvm2/11,Hw,16
CWHvm2/11,Yc,16
CWHwh1/04,Cw,16
CWHwh1/10,Hw,16
CWHwh1/10,Pl,16
CWHwh1/10,Yc,16
CWHwh1/12,Hw,16
CWHwh1/12,Pl,16
CWHwh1/13,Ss,16
CWHwh1/14,Cw,16
CWHwh1/15,Cw,16
CWHwh2/01,Cw,16
CWHwh2/01,Yc,16
CWHwh2/02,Cw,16
CWHwh2/02,Hw,16
CWHwh2/02,Yc,16
CWHwh2/03,Cw,16
CWHwh2/03,Yc,16
CWHwh2/04,Hw,16
CWHws2/01,Cw,16
CWHws2/03,Cw,16
CWHws2/03,Hw,16
CWHws2/03,Pl,16
CWHws2/04,Cw,16
CWHws2/05,Cw,16
CWHxm/11,Pl,16
CWHxm/12,Cw,16
MHmm1/01,Hm,16
MHmm1/04,Hm,16
MHmm1/05,Ba,16
MHmm1/05,Hm,16
MHmm2/01,Ba,16
MHmm2/01,Hm,16
MHmm2/03,Ba,16
MHmm2/03,Hm,16
MHmm2/04,Ba,16
MHmm2/04,Hm,16
MHmm2/05,Ba,16
MHmm2/05,Hm,16
CWHvh3/101a,Ss,16
CWHvh3/101a,Yc,16
CWHvh3/101b,Cw,16
CWHvh3/101b,Hw,16
CWHvh3/101b,Pl,16
CWHvh3/101b,Yc,16
CWHvh3/101c,Cw,16
CWHvh3/101c,Hw,16
CWHvh3/101c,Pl,16
CWHvh3/101c,Yc,16
CWHvh3/103,Ss,16
CWHvh3/104,Cw,16
CWHvh3/104,Hw,16
CWHvh3/115,Pl,16
CWHvh3/117,Cw,16
CWHvh3/117,Hw,16
CWHvh3/117,Ss,16
CWHvh3/117,Yc,16
CWHwh1/103,Ss,16
CWHwh1/104,Cw,16
CWHwh1/104,Hw,16
CWHwh1/110,Ss,16
CWHwh1/115,Pl,16
CWHwh1/117,Cw,16
CWHwh1/118,Cw,16
CWHwh1/118,Hw,16
CWHwh1/118,Ss,16
CWHwh2/101,Cw,16
CWHwh2/101,Hm,16
CWHwh2/101,Yc,16
CWHwh2/110,Cw,16
CWHwh2/110,Yc,16
CWHwh2/112,Hm,16
CWHwh2/112,Hw,16
CWHwh2/112,Ss,16
CWHwh2/112,Yc,16
ICHmk1/01,Bl,16.00125003
ICHmk1/01,Bl,16.00125003
SBSmk1/05,At,16.00999982
ESSFdc1/03,Pl,16.06249988
ESSFdc1/03,Pl,16.06249988
SBSmk1/03,Pl,16.0670001
SBPSdc/03,Pl,16.0700001
SBSmk1/05,Sx,16.15750003
SBSdk/03,Pl,16.16000014
SBSdk/03,Pl,16.16000014
ESSFmc/01,Pl,16.17699996
SBSmc2/02,Pl,16.18996423
SBSmc2/02,Pl,16.18996423
SBSmc2/02,Pl,16.18996423
SBSwk3/02,Bl,16.18999999
SBSwk3/02,Bl,16.18999999
MSxv/01,Pl,16.21642842
MSdv/01,Pl,16.24571419
SBSdw3/04,Sx,16.2533333
SBSdw3/03,Sx,16.26855575
IDFxh1/01,Fd,16.28384612
IDFxh1/01,Fd,16.28384612
SBSmc2/05,Bl,16.32818179
SBSmc2/05,Bl,16.32818179
IDFdk4/01,Pl,16.35000001
MSdv/01,Sx,16.35857173
MSdk1/04,Lw,16.38428552
IDFxm/01,Fd,16.40222221
IDFxm/01,Fd,16.40222221
ICHmk3/01,Cw,16.40571404
ESSFdc2/01,Bl,16.4249999
SBSdk/01,At,16.50571414
SBSdk/01,At,16.50571414
MSdm1/06,Bl,16.52800007
MSdm1/06,Bl,16.52800007
ICHvk2/01,Cw,16.58857128
IDFxw/01,Fd,16.61999989
SBSmw/03,Sx,16.65714278
SBSmw/03,Sx,16.65714278
SBSwk3/08,Sx,16.66200018
SBSwk3/08,Sx,16.66200018
SBPSxc/04,Sx,16.67250001
MSdk/03,Pl,16.67714296
ESSFdk/03,Pl,16.68727251
SBSmw/03,Sx,16.7
IDFxh1/01,Py,16.78499985
IDFxh1/01,Py,16.78499985
SBSwk3/06,Bl,16.79454569
SBSwk3/06,Bl,16.79454569
SBSmw/04,Bl,16.79571438
SBSmw/04,Bl,16.79571438
SBSwk3/01,Sx,16.79714298
SBSwk3/01,Sx,16.79714298
SBSmw/04,Bl,16.8
ICHmc2/01,Cw,16.82986654
IDFdk2/03,Fd,16.83090921
IDFdk3/06,Fd,16.8471429
IDFdk3/06,Fd,16.8471429
MSdm1/01,Sx,16.8544444
MSdm1/01,Sx,16.8544444
