Sp,cos_int,MaxSI
Acb,i,21
At,i,24.21666675
Ba,c,31.00133349
Bg,c,40
Bg,i,24
Bl,i,24
Cw,c,32
Cw,i,26
Dr,c,26.38875008
Ep,i,20.72999995
Fd,c,45
Fd,i,28
Hm,c,24
Hw,c,40
Hw,i,24
Lt,i,15
Lw,i,27
Pa,i,15
Pl,i,27
Pw,c,27
Py,i,24
Py,c,25
Sb,i,15
Se,i,26.27111117
Ss,c,36
Sw,i,21
Sx,i,32
Yc,c,24
Bp,c,40
