SMRLevel,CMD,aSMR
0,1,6
0,1,5
0,250,4.5
0,350,4
0,450,3.5
0,550,3
0,650,2.5
0,750,2
0,850,1.5
0,950,1
0,1050,0.5
0,1150,0
0,9999,0
5,0,7
5,1,6.5
5,50,6
5,125,5.5
5,200,5
5,275,4.5
5,350,4
5,375,3.5
5,400,3
5,450,2.5
5,500,2
5,550,1.5
5,625,1
5,9999,1
6,0,8
6,5,7.5
6,25,7
6,75,6.5
6,100,6
6,150,5.5
6,200,5
6,225,4.5
6,250,4
6,300,3.5
6,350,3
6,9999,2.5
7,0,8
7,75,7.5
7,100,7
7,125,6.5
7,150,6
7,175,5.5
7,200,5
7,250,4.5
7,275,4
7,9999,4
