ID1,ID2,lat,long,el
00kfr01,Kam2000,51.86398315,-119.4160004,1560
00kfr02,Kam2000,51.8649826,-119.4179993,1570
00kfr03,Kam2000,51.86398315,-119.4169998,1549
00kfr04,Kam2000,51.87498092,-119.461998,1700
00kfr05,Kam2000,51.87598037,-119.461998,1710
00kfr06,Kam2000,51.87598037,-119.461998,1720
00kfr07,Kam2000,51.87598037,-119.4609985,1710
00kfr08,Kam2000,51.87498092,-119.4609985,1710
00kfr09,Kam2000,51.87398147,-119.4609985,1650
00kfr10,Kam2000,51.87398147,-119.4609985,1660
00kfr11,Kam2000,51.87398147,-119.4599991,1650
00kfr12,Kam2000,51.87398147,-119.4589996,1660
00kfr13,Kam2000,51.87398147,-119.4570007,1680
00kfr14,Kam2000,51.87398147,-119.4570007,1680
00kfr15,Kam2000,51.86598205,-119.4069977,1550
00kfr16,Kam2000,51.86598205,-119.4079971,1553
00kfr17,Kam2000,51.8669815,-119.4079971,1545
00kfr18,Kam2000,51.86598205,-119.4079971,1545
00kfr19,Kam2000,51.8669815,-119.4100037,1580
00kfr20,Kam2000,51.84798049,-119.4440002,1638
00kfr21,Kam2000,51.84897994,-119.4449997,1640
00kfr22,Kam2000,51.84897994,-119.4440002,1645
00kfr23,Kam2000,51.85097885,-119.4440002,1630
00kfr24,Kam2000,50.37998199,-120.6230011,1395
00kfr25,Kam2000,50.37998199,-120.6230011,1400
00kfr26,Kam2000,50.36898422,-120.6240005,1380
00kfr27,Kam2000,50.36798477,-120.625,1390
00kfr28,Kam2000,50.3629837,-120.6230011,1340
00kfr29,Kam2000,50.36798477,-120.6259995,1410
00kfr30,Kam2000,50.3370552,-120.6340027,1360
00kfr31,Kam2000,50.3209877,-120.6549988,1320
00kfr32,Kam2000,50.3209877,-120.6559982,1335
00kfr33,Kam2000,50.33598327,-120.6340027,1365
00kfr34,Kam2000,50.38598251,-120.6190033,1380
00kfr35,Kam2000,50.33598327,-120.6350021,1370
00kfr36,Kam2000,51.30598831,-119.2750015,610
00kfr37,Kam2000,50.48897933,-120.5390015,1295
00kfr38,Kam2000,51.3109703,-120.276001,610
00kfr39,Kam2000,51.4139862,-119.3570023,1450
00kfr40,Kam2000,51.4139862,-119.3570023,1430
00kfr41,Kam2000,51.45698165,-119.5029984,920
00kfr42,Kam2000,51.45898056,-119.4749985,520
00kfr43,Kam2000,51.42798233,-119.5059967,1250
00kfr44,Kam2000,50.48897933,-120.5390015,1305
00kfr45,Kam2000,51.37298202,-119.5019989,1380
00kfr46,Kam2000,51.32497787,-119.5090027,1210
00kfr47,Kam2000,50.38498306,-120.6200027,1420
00kfr48,Kam2000,49.92795181,-120.0739975,1510
00kfr49,Kam2000,50.48897933,-120.5400009,1350
00kfr50,Kam2000,50.48897933,-120.538002,1350
00kfr51,Kam2000,49.89995574,-120.0899963,1555
00kfr52,Kam2000,49.90195465,-120.0889969,1605
00kfr53,Kam2000,49.9009552,-120.0899963,1525
00kfr54,Kam2000,49.88295364,-120.0690002,1610
00kfr55,Kam2000,49.88295364,-120.0680008,1600
00kfr56,Kam2000,49.88395309,-120.0479965,1610
00kfr57,Kam2000,49.88395309,-120.0479965,1600
00kfr58,Kam2000,,0,1580
00kfr59,Kam2000,49.88095092,-120.0530014,1590
00kfr60,Kam2000,49.88095092,-120.052002,1575
00kfr61,Kam2000,49.89195632,-120.0820007,1530
00kfr62,Kam2000,49.89195632,-120.0820007,1550
00kfr63,Kam2000,49.89195632,-120.0820007,1550
00kfr64,Kam2000,49.90196609,-120.2720032,1455
00kfr65,Kam2000,49.90196609,-120.2730026,1455
00kfr66,Kam2000,49.90196609,-120.2720032,1455
00kfr67,Kam2000,49.88529968,-120.2720032,1455
00kfr68,Kam2000,49.89996719,-120.2689972,1482
00kfr69,Kam2000,50.48997879,-120.5390015,1400
00kfr70,Kam2000,49.89896774,-120.2699966,1485
00kfr71,Kam2000,50.42298507,-120.6159973,1435
00kfr72,Kam2000,49.84495162,-119.9459991,1286
00kfr73,Kam2000,49.84495162,-119.9459991,1284
00kfr74,Kam2000,49.84495162,-119.9459991,1282
00kfr75,Kam2000,49.84495162,-119.9459991,1280
00kfr76,Kam2000,49.91296768,-120.2519989,1500
00kfr77,Kam2000,49.94396972,-120.2870026,1620
00kfr78,Kam2000,49.94296646,-120.2730026,1385
00kfr79,Kam2000,50.42298507,-120.6149979,1450
00kfr80,Kam2000,49.94596481,-120.2710037,1700
00kfr81,Kam2000,49.94396591,-120.2730026,1690
00kfr82,Kam2000,50.88597488,-120.4059982,1220
00kfr83,Kam2000,50.42298507,-120.6139984,1455
00kfr84,Kam2000,51.10297393,-120.3789978,1490
00kfr85,Kam2000,51.10397338,-120.3769989,1495
00kfr86,Kam2000,50.42198181,-120.6139984,1465
00kfr87,Kam2000,51.14397048,-120.2850037,1310
00kfr88,Kam2000,51.1479721,-120.3470001,1390
00kfr89,Kam2000,50.91997528,-120.3919983,1330
00kfr90,Kam2000,50.91997528,-120.3889999,1330
00kfr91,Kam2000,50.1219902,-120.862999,700
00kfr92,Kam2000,50.12099075,-120.862999,725
00kfr93,Kam2000,50.1219902,-120.8619995,690
01kSB01,kfrsibec01,50.97027969,-122.4113998,1630
01kSB02,kfrsibec01,50.96972656,-122.4116974,1635
01kSB03,kfrsibec01,,0,1640
01kSB04,kfrsibec01,50.98361206,-122.4124985,1570
01kSB05,kfrsibec01,,0,1550
01kSB06,kfrsibec01,50.97333145,-122.4139023,1581
01kSB07,kfrsibec01,50.98944473,-122.1917038,1675
