"PlotNumber","SubPlot","MeasurementID","TreeNum","TreeSpp","DBH","DBHClass","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","AgeNote","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex"
"PSP9309","1",0,1,"Pl",12.80000,15.00000,17.30000,,51,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP032","1",0,1,"Pl",35.00000,30.00000,30.30000,,81,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9314","1",0,1,"Lw",25.80000,30.00000,21.90000,,74,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp10","1",0,1,"Py",23.00000,30.00000,14.40000,,76,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp10","1",0,2,"Fd",21.70000,15.00000,15.20000,,72,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp11","1",0,1,"Fd",26.50000,30.00000,17.90000,,55,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9335","1",0,1,"Pl",22.30000,15.00000,20.60000,,68,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9349","1",0,1,"Ep",8.500000,15.00000,11.50000,,29,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9349","1",0,2,"Bl",15.10000,15.00000,16.20000,,32,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9350","1",0,1,"Sx",28.50000,30.00000,22.90000,,61,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP039","1",0,1,"Lw",27.00000,30.00000,27.60000,,60,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP039","1",0,2,"Sx",22.40000,15.00000,23.60000,,56,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp12","1",0,1,"Se",31.70000,30.00000,25.90000,,100,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP041","1",0,1,"Pl",18.20000,15.00000,19.30000,,58,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP041","1",0,2,"Fd",30.80000,30.00000,23.10000,,60,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP041","1",0,3,"Ep",27.50000,30.00000,21.20000,,55,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
