PlotNumber,SubPlot,TreeNum,Species,DBH,Ht,BHA,SI50,remove
SBC5544,1,1,Hw,23.6,37,23,59.59,x
SBC4787,1,1,Bl,8.3,18.5,10,57.54,x
SBC6230,1,1,Fd,7.7,24.5,16,57,x
SBC2670,1,1,Ss,,33.4,23,56.94,
SBC6065,1,1,Fd,11.3,21.6,15,53.85,x
SBC6153,1,1,Pl,7.9,29.2,11,53.71,x
SBC5376,1,2,Hw,11.2,28.1,21,50.19,x
SBC2621,1,1,Ss,38.9,36.4,32,48.6,
SBC2593,1,1,Ss,36,37.7,34,48.04,
SBC3536,1,1,Pl,17.1,30,17,46.47,
SBC2661,1,1,Ss,21,27.8,25,46.38,
SBC6149,1,1,Pl,11.3,26.6,14,46.12,x
SBC2591,1,1,Ss,28.9,35,33,45.96,
SBC1002,1,1,Fd,30.2,26.2,23,45.67,
SBC0150,1,1,Fd,,56.2,70,45.62,
SBC0998,1,1,Bg,48.1,39.2,39,45.44,
SBC6322,1,1,Pl,10.9,22.3,11,45.44,x
SBC4313,1,1,Sx,25.9,32.9,29,45.09,
SBC6176,1,1,Bl,15.7,30.1,22,45.09,
SBC5544,1,2,Cw,20.8,37.2,24,44.35,
SBC6177,1,1,Bl,9.5,27.2,20,44.34,x
SBC2596,1,1,Ss,39.5,30.9,30,44.14,
SBC2586,1,1,Ss,67,33.4,33,44.12,
SBC1157,1,1,Fd,,17.15,15,44.04,
SBC0182,1,1,Fd,,47.3,56,43.9,
SBC0992,1,1,Hw,39.8,38.3,40,43.85,
SBC1085,1,1,Fd,,27.55,26,43.74,
SBC6593,1,1,Pl,7.5,19.8,10,43.64,x
SBC0141,1,1,Fd,,47,56,43.63,
SBC2702,1,3,Ss,50.2,39.5,42,43.62,
SBC7007,1,1,Sx,9.8,16.3,11,43.24,
SBC6466,1,1,Sx,16,26.5,21,42.84,
SBC1125,1,1,Fd,,13.43,12,42.6,
SBC6333,1,1,Bl,9.4,19,15,42.18,
SBC2686,1,2,Ss,39.2,18.4,18,42.17,
SBC2597,1,2,Ss,24,32.5,34,42.16,
SBC1142,1,1,Fd,,11.2,10,41.96,
SBC2629,1,3,Ba,21.2,26.3,24,41.81,
SBC0159,1,1,Fd,,49.4,65,41.8,
SBC5691,1,1,Fd,13.4,15.1,14,41.8,
SBC6174,1,1,Bl,7.1,20.2,16,41.75,
SBC2606,1,2,Ss,56.8,35.1,38,41.69,
SBC0977,1,1,Fd,47.2,29.9,31,41.53,
SBC7044,1,1,Sx,10.2,23.1,18,41.53,
SBC1065,1,1,Fd,,23.56,23,41.47,
SBC1126,1,1,Fd,,12.95,12,41.28,
SBC1132,1,1,Fd,,10.95,10,41.16,
SBC7050,1,1,Bl,14.1,25.6,21,41.13,
SBC0163,1,1,Fd,,42.7,53,41.07,
SBC2601,1,3,Hw,23.4,37.5,44,40.95,
SBC1063,1,1,Fd,,15.72,15,40.8,
SBC1064,1,1,Fd,,15.7,15,40.75,
SBC0179,1,1,Fd,,46.8,62,40.74,
SBC6217,1,1,Sx,5.8,17.2,13,40.74,
SBC0157,1,1,Fd,,43.9,56,40.73,
SBC5823,1,1,Pl,10.6,22,14,40.73,
SBC2649,1,1,Ss,77.7,37.7,44,40.67,
SBC1119,1,1,Fd,,23.93,24,40.61,
SBC4784,1,1,Pl,9.8,17.6,10,40.61,
SBC5376,1,3,Bl,11.2,24,20,40.54,
SBC0161,1,1,Fd,,41.6,52,40.52,
SBC2551,1,1,Ss,30.9,25.4,27,40.51,
SBC4768,1,1,Bl,7.2,19.3,16,40.43,
SBC5205,1,1,Hw,23.2,19.2,17,40.33,
SBC6831,1,9,Fd,65.4,48.95,68,40.32,
SBC0139,1,1,Fd,,41.3,52,40.23,
SBC1153,1,1,Fd,,10.65,10,40.2,
SBC7281,1,2,Bl,22.3,21.7,18,40.19,
SBC1077,1,1,Fd,,11.65,11,40.09,
SBC1147,1,1,Fd,,12.47,12,39.95,
SBC2637,1,1,Ss,25,24.1,26,39.95,
SBC0162,1,1,Fd,,44,58,39.92,
SBC5603,1,1,Ss,12.2,8.6,9,39.88,
SBC2641,1,1,Ss,29,22.3,24,39.87,
SBC6154,1,1,Pl,13,21.3,14,39.87,
SBC0152,1,1,Fd,,49.1,70,39.76,
SBC1141,1,1,Fd,,13.3,13,39.69,
SBC2829,1,1,Ss,,23.9,26,39.67,
SBC1072,1,1,Fd,,10.45,10,39.56,
SBC1122,1,1,Fd,,22.35,23,39.53,
SBC0143,1,1,Fd,,38.8,49,39.51,
SBC1078,1,1,Fd,,11.45,11,39.5,
SBC1120,1,1,Fd,,19.84,20,39.37,
SBC0976,1,1,Fd,40.1,28.8,32,39.2,
SBC7042,1,1,Sx,14.5,24.3,23,39.17,
SBC2787,1,1,Ss,,28.4,32,39.16,
SBC0269,1,1,Hw,,45.3,68,39.01,
SBC0181,1,1,Fd,,42.5,57,38.97,
SBC6835,1,1,Fd,65.8,47.69,69,38.93,
SBC2711,1,1,Ss,33,20.8,23,38.87,
SBC4632,1,1,Ss,73.9,45.8,66,38.85,
SBC2605,1,1,Ss,66.4,34.2,41,38.73,
K99-324,1,1,Sx,37,48.99046,94,38.63,
SBC2895,1,1,Ss,,34.6,42,38.59,
SBC0140,1,1,Fd,,39.1,51,38.58,
SBC6825,1,1,Fd,55.5,47.58,70,38.51,
SBC3032,1,7,Hw,,20.8,22,38.49,
SBC6467,1,1,Pl,9.9,16.1,10,38.45,
SBC5816,1,1,Sx,13.4,21.9,20,38.4,
SBC1084,1,1,Fd,,12.8,13,38.37,
SBC2575,1,1,Ss,50.6,34.9,43,38.36,
SBC5231,1,1,Ss,81.2,49.8,80,38.35,
SBC2508,1,1,Ss,54.3,31.3,37,38.34,
SBC0979,1,1,Cw,55.3,36.4,41,38.33,
SBC2627,1,1,Ss,43.3,28.4,33,38.27,
SBC0165,1,1,Fd,,43.1,60,38.26,
SBC1091,1,1,Fd,,19.97,21,38.2,
SBC0999,1,1,Fd,37.3,28.7,33,38.18,
SBC6323,1,1,Pl,9,16.9,11,38.18,
SBC2548,1,1,Ss,27.5,23.6,27,38.08,
SBC4775,1,1,Pl,14.5,17.9,12,38.07,
SBC2639,1,1,Ss,42.9,28.2,33,38.03,
SBC5669,1,1,Pl,12.5,18.9,13,37.98,
SBC2549,1,1,Ss,44.2,27.4,32,37.95,
SBC2635,1,2,Hw,20.8,24,28,37.95,
SBC2515,1,1,Ss,46.2,36,46,37.92,
SBC0967,1,1,Hw,28.3,30.9,37,37.8,
SBC2892,1,1,Ss,,35.8,46,37.71,
SBC0270,1,1,Hw,,44.2,69,37.69,
SBC2589,1,1,Ss,53.9,34.2,43,37.64,
SBC1073,1,1,Fd,,21.15,23,37.59,
SBC1071,1,1,Fd,,10.8,11,37.57,
SBC5294,1,1,Ss,83.3,44.8,67,37.57,
SBC0982,1,1,Fd,59.3,40,55,37.54,
SBC1081,1,1,Fd,,17.94,19,37.52,
SBC1107,1,1,Fd,,11.6,12,37.5,
SBC1145,1,1,Fd,,12.46,13,37.47,
SBC0151,1,1,Fd,,45.5,68,37.44,
SBC2607,1,3,Ss,36.7,23.1,27,37.4,
SBC1133,1,1,Fd,,9.77,10,37.35,
SBC3026,1,13,Ss,,17.3,20,37.33,
SBC2632,1,1,Ss,59.2,27.6,33,37.32,
SBC2567,1,1,Ba,49.2,33.3,42,37.32,
SBC2696,1,1,Ss,38.6,25.4,30,37.32,
SBC5247,1,1,Ss,82.8,47.8,77,37.32,
SBC3041,1,1,Ss,,18.1,21,37.28,
SBC3026,1,1,Ss,,13.9,16,37.26,
SBC0988,1,1,Fd,60.1,36.1,48,37.19,
SBC1097,1,1,Fd,,22.4,25,37.16,
SBC1079,1,1,Fd,,9.7,10,37.12,
SBC0185,1,1,Fd,,38.6,53,37.11,
SBC0268,1,1,Hw,,44.1,71,37.1,
SBC1114,1,1,Fd,,12.32,13,37.1,
SBC2595,1,1,Ss,35.4,28.8,35,37.08,
SBC5314,1,2,Ss,104.2,47.8,78,37.05,
SBC6836,1,1,Fd,53.2,45.41,69,37.04,
SBC0180,1,1,Fd,,41.7,60,37.02,
SBC2543,1,1,Ss,46.4,22,26,37.01,
SBC2817,1,1,Ss,,35.1,46,37,
SBC1809,1,1,Ss,53.6,26.6,32,36.99,
SBC2844,1,1,Ss,,36.9,50,36.96,
SBC2531,1,1,Ss,63,36,48,36.96,
SBC2722,1,1,Ss,,35,46,36.9,
SBC1104,1,1,Fd,,20.69,23,36.85,
SBC1092,1,1,Fd,,17.57,19,36.83,
SBC6830,1,7,Fd,50.1,41.04,59,36.81,
SBC1144,1,1,Fd,,13.99,15,36.8,
SBC2525,1,2,Ss,27.6,15.3,18,36.78,
SBC2630,1,2,Hw,19.4,25.8,32,36.76,
SBC5582,1,1,Cw,31.1,33.5,37,36.76,
SBC2664,1,2,Ss,41.5,25.7,31,36.74,
SBC2827,1,1,Ss,,21.8,26,36.72,
SBC1634,1,0,Dr,,37.6,55,36.7,
SBC2572,1,1,Ss,57.8,31.1,39,36.7,
SBC2590,1,1,Ba,53.5,32.1,41,36.6,
SBC5662,1,1,Pl,14,19.6,15,36.56,
SBC0184,1,1,Fd,,40.3,58,36.54,
SBC0986,1,1,Fd,41.3,29.1,36,36.54,
SBC6820,1,1,Fd,59.9,40.7,59,36.51,
SBC6810,1,1,Fd,59.8,44.36,68,36.48,
SBC0983,1,2,Fd,55.9,33.8,45,36.46,
SBC6823,1,1,Fd,50.8,42.33,63,36.44,
SBC1093,1,1,Fd,,27.84,34,36.42,
SBC5323,1,1,Ss,69.7,43.9,68,36.42,
SBC0989,1,1,Fd,58.1,36.4,50,36.4,
SBC1121,1,1,Fd,,18.93,21,36.4,
SBC2623,1,1,Ss,44.8,28.2,35,36.39,
SBC0275,1,1,Hw,,40.1,60,36.34,
SBC2611,1,1,Ss,55,28.8,36,36.32,
SBC6822,1,1,Fd,67,37.77,53,36.31,
SBC2680,1,1,Ba,51.2,30.3,38,36.3,
SBC3032,1,14,Ss,,13.4,16,36.3,
SBC2718,1,1,Ss,,33.9,45,36.28,
SBC2550,1,1,Ss,41.9,25.3,31,36.24,
SBC1134,1,1,Fd,,10.35,11,36.22,
KN02682,1,1,Pw,20.1,17.2,20,36.21,
SBC2506,1,2,Ba,54.3,30.7,39,36.21,
SBC6840,1,4,Fd,69.5,48.23,80,36.2,
SBC4777,1,1,Bl,10.2,16.5,16,36.19,
SBC6944,1,1,At,11.1,21.4,20,36.15,
SBC1159,1,1,Fd,,16.33,18,36.13,
SBC0997,1,1,Fd,40.7,34.4,47,36.09,
SBC0164,1,1,Fd,,37.5,53,36.05,
SBC1004,1,1,Hw,65.6,46.1,85,36.04,
SBC1099,1,1,Fd,,21.67,25,36.04,
SBC2049,1,1,Ac,26.3,24.5,22,36.01,
SBC2630,1,1,Ss,16.2,25.8,32,36.01,
SBC2647,1,2,Ba,54.8,36.4,51,35.99,
SBC1088,1,1,Fd,,14.52,16,35.99,
SBC1087,1,1,Fd,,17.9,20,35.92,
SBC0964,1,1,Hw,38.6,34.7,48,35.9,
SBC2724,1,1,Ss,,34,46,35.89,
SBC6808,1,1,Fd,55.4,38.7,56,35.88,
SBC2723,1,1,Ba,,34.5,47,35.87,
SBC2599,1,1,Ss,49.6,29.7,38,35.87,
SBC1061,1,1,Fd,,11.86,13,35.87,
SBC2061,1,4,Ac,47.5,35,47,35.87,
SBC2571,1,1,Ss,47,27.7,35,35.82,
SBC7052,1,1,Pl,13.3,18.1,14,35.81,
SBC6812,1,1,Fd,67.7,37.23,53,35.79,
SBC2692,1,2,Ba,42.9,30.3,39,35.77,
SBC1086,1,1,Fd,,18.56,21,35.76,
SBC2543,1,2,Cw,26.3,24.7,21,35.73,
SBC2623,1,2,Ba,30,28.7,36,35.71,
SBC1074,1,1,Fd,,17.78,20,35.7,
SBC4773,1,1,Pl,18.1,18,14,35.67,
SBC2796,1,1,Ss,,35.6,50,35.66,
SBC3025,1,22,Ss,,18.7,23,35.65,
SBC3026,1,18,Ss,,16.3,20,35.65,
SBC1098,1,1,Fd,,26.04,32,35.61,
SBC2558,1,2,Ba,35,28.6,36,35.6,
SBC2643,1,1,Ss,32.1,26.8,34,35.56,
SBC1632,1,0,Dr,,38.3,69,35.55,
SBC1007,1,1,Ba,41.6,33.6,46,35.51,
SBC3026,1,4,Ss,,17.8,22,35.48,
SBC1635,1,0,Dr,,36.5,56,35.47,
SBC5321,1,1,Ss,71.1,46.9,81,35.47,
SBC1110,1,1,Fd,,9.2,10,35.46,
SBC5526,1,1,Ba,24.6,25,30,35.46,
SBC3042,1,16,Hw,,22.8,29,35.45,
SBC2679,1,2,Ba,35.9,30,39,35.44,
SBC6942,1,1,At,11,21.6,21,35.42,
SBC5301,1,1,Ss,96,41,63,35.41,
SBC4389,1,1,Sw,17.3,21.5,24,35.4,
SBC4949,1,1,Bl,10.8,16,16,35.4,
SBC2850,1,1,Ss,,32.5,44,35.37,
SBC0994,1,1,Fd,37.6,33.7,47,35.35,
SBC7959,1,1,Ss,33,16.1,20,35.31,
SBC0963,1,1,Ba,51.6,34.8,49,35.29,
SBC1158,1,1,Fd,,16.72,19,35.24,
SBC6839,1,6,Fd,63.3,44.58,73,35.18,
SBC4629,1,1,Sx,37,23,27,35.17,
SBC1080,1,1,Fd,,18.21,21,35.15,
SBC2567,1,2,Ss,48.9,28.4,37,35.14,
SBC2562,1,1,Ss,35.5,24.4,31,35.13,
SBC1108,1,1,Fd,,10.76,12,35.11,
SBC6813,1,1,Fd,5.7,42.68,68,35.08,
SBC5531,1,1,Sx,29.2,28.3,37,35.05,
SBC2552,1,1,Ba,38.4,29.6,39,35,
SBC3032,1,4,Ss,,17.5,22,35,
SBC5318,1,2,Ss,76.8,46.9,83,34.99,
SBC2651,1,2,Ss,53.9,32.6,45,34.96,
SBC2554,1,1,Hw,32.2,30,40,34.96,
SBC4774,1,1,Sx,12,19,20,34.94,
SBC1062,1,1,Fd,,13.19,15,34.92,
SBC2574,1,1,Ss,48.9,26.9,35,34.9,
SBC3027,1,18,Hw,,22.4,29,34.89,
SBC1130,1,1,Fd,,9.9,11,34.86,
SBC6828,1,18,Fd,55,42.03,67,34.85,
SBC2644,1,3,Ss,46.1,29.3,39,34.78,
SBC1102,1,1,Fd,,13.97,16,34.77,
SBC3042,1,17,Ba,,26.2,33,34.77,
SBC1143,1,1,Fd,,16.46,19,34.75,
SBC2510,1,1,Ss,57.1,25.4,33,34.69,
SBC2542,1,2,Ss,37.7,19.6,25,34.67,
SBC2598,1,2,Ss,41.5,26.7,35,34.67,
SBC3025,1,7,Ss,,19.6,25,34.67,
SBC5308,1,2,Ss,97.1,46.8,84,34.67,
SBC2831,1,1,Hw,,21.1,27,34.63,
SBC3025,1,14,Ss,,18.8,24,34.62,
SBC2650,1,2,Ss,54.2,33.2,47,34.61,
SBC3032,1,5,Hw,,19.5,24,34.57,
SBC0170,1,1,Fd,,35.5,52,34.56,
SBC0178,1,1,Fd,,35.5,52,34.56,
SBC3032,1,16,Hw,,18.2,22,34.56,
SBC5596,1,1,Hw,25.2,23.4,31,34.56,
SBC2727,1,1,Ba,,31.2,43,34.55,
SBC5594,1,3,Ba,44.8,32.2,45,34.55,
SBC0281,1,1,Hw,,37.9,59,34.55,
SBC3042,1,13,Ss,,24.6,32,34.55,
SBC2647,1,1,Ss,75.1,35,51,34.52,
SBC0993,1,1,Fd,50.4,33.9,49,34.51,
SBC2857,1,1,Hw,,28.5,38,34.5,
SBC3042,1,1,Ss,,21,27,34.5,
SBC2769,1,1,Ss,,22.4,29,34.46,
SBC3042,1,9,Ss,,22.4,29,34.46,
SBC5527,1,1,Sx,53.4,34.8,51,34.43,
SBC2539,1,1,Ss,74.3,36.7,55,34.42,
SBC7059,1,1,Sx,13.3,19.8,22,34.42,
SBC6809,1,1,Fd,58.3,39.54,62,34.37,
SBC1070,1,1,Fd,,11.3,13,34.36,
SBC6076,1,1,Pl,11.7,16.2,13,34.35,
SBC2642,1,2,Ss,34.7,21.6,28,34.33,
SBC2735,1,1,Ss,,33.8,49,34.3,
SBC2786,1,1,Hw,,33.7,49,34.3,
SBC2540,1,2,Ss,62.8,37,56,34.29,
SBC2767,1,1,Ba,,25.2,32,34.27,
SBC4627,1,1,Ss,37,23,30,34.27,
SBC0280,1,1,Hw,,37.6,59,34.26,
SBC5371,1,2,Sx,21.8,16.4,17,34.26,
SBC5575,1,2,Ba,41,27.9,37,34.24,
SBC2888,1,1,Ss,,30.4,42,34.23,
SBC0177,1,1,Fd,,34.7,51,34.23,
SBC0965,1,1,Ba,42.6,30.9,43,34.23,
SBC2679,1,1,Ss,36,28.2,38,34.23,
SBC5874,1,1,Ba,49.4,28.9,39,34.23,
SBC6303,1,1,Fd,31.4,33.2,48,34.19,
SBC5322,1,1,Ss,72.5,43.7,75,34.16,
SBC1111,1,1,Fd,,27.14,36,34.15,
SBC2509,1,3,Ba,41.2,31.3,44,34.14,
SBC2608,1,2,Ba,47.2,31.3,44,34.14,
SBC1129,1,1,Fd,,12.86,15,34.14,
SBC3026,1,3,Hw,,18.6,23,34.14,
SBC2609,1,2,Ss,57.2,30.3,42,34.13,
SBC1008,1,1,Ba,33.4,26.2,34,34.12,
SBC2521,1,2,Ss,31.7,28.1,38,34.12,
SBC2533,1,1,Ba,48.5,34.1,50,34.11,
SBC4347,1,1,Bl,16.5,23.8,27,34.08,
SBC2668,1,1,Ss,49.6,25.5,34,34.03,
SBC7301,1,1,At,24.4,23.8,26,34.03,
SBC6819,1,1,Fd,52.4,41.76,69,34.01,
SBC2805,1,1,Ss,,33.5,49,34,
SBC2505,1,1,Ss,56.5,33.5,49,34,
SBC1630,1,0,Dr,,36.3,66,34,
SBC4781,1,1,Pl,16,15,12,33.97,
SBC6807,1,1,Fd,56.4,43.42,74,33.97,
SBC1101,1,1,Fd,,20.31,25,33.96,
SBC6815,1,6,Fd,56.9,42.73,72,33.96,
SBC3042,1,10,Ss,,21.3,28,33.93,
SBC4627,1,2,Hw,30.2,19.6,25,33.92,
SBC2573,1,1,Ss,44,27.3,37,33.92,
SBC2603,1,2,Ba,51.7,30.6,43,33.91,
SBC4633,1,1,Ss,35.8,22.7,30,33.88,
SBC4630,1,1,Ss,60.8,32,46,33.85,
SBC3025,1,17,Ss,,18.3,24,33.85,
SBC1096,1,1,Fd,,13.55,16,33.84,
SBC4631,1,1,Ss,57.6,29.5,41,33.82,
SBC2693,1,1,Ss,70.9,31,44,33.82,
SBC2798,1,1,Ss,,33.3,49,33.8,
SBC1100,1,1,Fd,,10.3,12,33.78,
SBC2865,1,1,Ba,,28,38,33.76,
SBC0975,1,1,Fd,35.8,24.6,32,33.74,
SBC3042,1,11,Ba,,20.5,25,33.73,
SBC6806,1,1,Fd,54.6,41.05,68,33.72,
SBC2553,1,1,Ba,37.3,30.9,44,33.71,
SBC4422,1,1,Ac,28.4,27.4,32,33.69,
SBC2644,1,2,Ba,50.7,29.4,41,33.68,
SBC3027,1,19,Hw,,19.4,25,33.62,
SBC2720,1,1,Ss,,30.3,43,33.61,
SBC0961,1,1,Hw,53.5,34.8,53,33.61,
SBC4767,1,1,Bl,22,24.1,28,33.61,
SBC2599,1,2,Hw,28.6,24.1,33,33.57,
SBC2557,1,1,Hw,35.6,29.2,41,33.57,
SBC2691,1,1,Ss,37.1,20.3,27,33.53,
SBC0158,1,1,Fd,,35.3,54,33.51,
SBC5678,1,1,Pl,12,15.6,13,33.51,
SBC2651,1,3,Ba,40.5,31.2,45,33.5,
SBC1075,1,1,Fd,,16.56,20,33.5,
SBC0146,1,1,Fd,,35.7,55,33.49,
SBC0971,1,1,Hw,28.6,31.3,46,33.49,
SBC6829,1,12,Fd,48.4,37.77,60,33.49,
SBC2661,1,2,Hw,22.6,20.3,27,33.48,
SBC3025,1,21,Hw,,20.3,27,33.48,
SBC1083,1,1,Fd,,13.38,16,33.46,
SBC2545,1,1,Cw,19.5,23.2,23,33.46,
SBC1131,1,1,Fd,,8.6,10,33.44,
SBC2639,1,3,Hw,20.5,24.8,34,33.43,
SBC0245,1,1,Hw,,42.3,80,33.42,
SBC0991,1,1,Hw,36.4,36.4,58,33.41,
SBC2733,1,1,Ss,,32,47,33.39,
SBC0985,1,1,Fd,48.4,35.6,55,33.39,
SBC3039,1,27,Ss,,23,31,33.38,
SBC1135,1,1,Fd,,8.58,10,33.37,
SBC4649,1,1,Ss,44,28.5,40,33.33,
SBC5324,1,1,Ss,48.9,36,56,33.33,
SBC0174,1,1,Fd,,35.5,55,33.3,
SBC3039,1,18,Ba,,26.5,36,33.25,
SBC2610,1,2,Ss,54.5,28.4,40,33.22,
SBC2584,1,2,Ss,42,24.8,34,33.2,
SBC5557,1,1,Pl,22.2,25.6,30,33.2,
SBC3026,1,12,Hw,,16.1,20,33.17,
SBC5690,1,1,Sx,9.3,16.9,19,33.16,
SBC1138,1,1,Fd,,12.44,15,33.14,
SBC2575,1,2,Ba,44.8,29.4,42,33.14,
KN02831,1,1,Bg,38.2,37.1,61,33.13,
SBC2624,1,1,Ba,47.8,27.9,39,33.13,
SBC2549,1,2,Ba,37.2,25.9,35,33.13,
SBC5617,1,1,Ba,46.2,31.3,46,33.12,
SBC2532,1,2,Ss,50.7,29.8,43,33.1,
SBC4774,1,1,Pl,11.8,16.9,15,33.09,
SBC2540,1,1,Ba,59.8,32.6,49,33.08,
SBC3022,1,10,Hw,,22.3,31,33.08,
SBC6244,1,2,Sx,14,18.7,22,33.08,
W094685,1,1,Fd,12.5,11.6,14,33.07,
SBC1624,1,0,Dr,,35.6,69,33.06,
SBC3026,1,17,Ss,,16.3,22,33.06,
SBC3027,1,6,Ba,,19.3,24,33.06,
SBC5899,1,1,Bl,11,25.6,32,33.03,
SBC2533,1,3,Hw,37.4,29.6,43,33.02,
SBC2671,1,1,Ss,31.1,26.5,37,33.02,
SBC0271,1,1,Hw,,43.6,89,33.02,
SBC1094,1,1,Fd,,16.3,20,33.02,
SBC3026,1,7,Ss,,19.2,26,33,
SBC1625,1,0,Dr,,35.7,71,32.96,
NPSP061,1,1,Ac,27.2,22.3,23,32.95,
SBC2565,1,1,Ba,45.3,29.7,43,32.95,
SBC8042,1,1,Ac,27.2,22.3,23,32.95,
SBC3040,1,10,Hw,,25.9,36,32.94,
SBC2520,1,2,Hw,37.3,25.2,35,32.93,
SBC3022,1,4,Ss,,17.7,24,32.93,
SBC1105,1,1,Fd,,8.44,10,32.89,
SBC2570,1,1,Ss,43.6,22.6,31,32.88,
SBC2677,1,1,Ss,51.3,22.6,31,32.88,
SBC4946,1,1,Pl,19.8,28.7,38,32.87,
SBC6817,1,1,Fd,72.2,43.59,79,32.87,
SBC3031,1,7,Ss,,21.2,29,32.86,
SBC2609,1,3,Ba,58,29.6,43,32.84,
SBC5843,1,1,Sx,53.5,28.4,41,32.83,
SBC2528,1,1,Ba,44.3,29.1,42,32.82,
SBC1148,1,1,Fd,,10.73,13,32.81,
KN02414,1,4,Pw,41.9,32.8,50,32.8,
SBC7167,1,1,Pl,13.6,15.1,13,32.8,
SBC2792,1,1,Ss,,37.8,62,32.78,
SBC2602,1,1,Ss,50.4,29.5,43,32.78,
SBC2612,1,3,Ss,42.4,29,42,32.77,
SBC2636,1,1,Ss,19.2,17.6,24,32.77,
SBC0972,1,1,Hw,53.4,41.4,79,32.77,
SBC4634,1,1,Ss,65.3,37.4,61,32.76,
SBC1151,1,1,Fd,,16.15,20,32.75,
SBC3040,1,9,Ba,,23.9,32,32.75,
SBC3042,1,12,Hw,,19.8,27,32.75,
SBC5246,1,1,Ss,66.3,44.6,84,32.72,
SBC2652,1,2,Ba,45.3,33.5,52,32.71,
SBC2534,1,2,Ss,57.1,29.9,44,32.69,
SBC2580,1,1,Ss,67.4,26.2,37,32.69,
SBC2664,1,1,Hw,25.5,20.8,29,32.65,
SBC7130,1,1,Pl,11.6,13.2,11,32.62,
SBC2799,1,1,Hw,,30,45,32.61,
SBC5571,1,1,Sx,38.2,24.1,33,32.61,
SBC2578,1,1,Ba,50.5,28.9,42,32.6,
SBC3027,1,20,Hw,,18.7,25,32.59,
SBC6838,1,16,Fd,66.5,40.04,69,32.59,
SBC6821,1,9,Fd,54.6,37.5,62,32.57,
SBC3026,1,8,Hw,,16.9,22,32.55,
SBC2741,1,1,Ba,,24.8,34,32.52,
SBC5307,1,1,Ss,95.8,38.6,65,32.51,
SBC2820,1,1,Hw,,29.5,44,32.5,
SBC1146,1,1,Fd,,8.32,10,32.48,
SBC0244,1,1,Hw,,39.7,73,32.47,
SBC0176,1,1,Fd,,34.2,54,32.46,
SBC1609,1,0,Dr,,33.1,54,32.45,
SBC0961,1,2,Ba,43.4,33.6,53,32.44,
SBC1629,1,0,Dr,,34.5,65,32.43,
SBC3026,1,19,Hw,,16.2,21,32.42,
SBC1811,1,1,Ss,52.4,23.5,33,32.4,
SBC2692,1,1,Ss,47.5,27.1,39,32.4,
KN02439,1,2,Bg,26.1,18.1,23,32.38,
SBC2604,1,1,Ss,52.1,29.6,44,32.38,
SBC0154,1,1,Fd,,33.7,53,32.38,
SBC1155,1,1,Fd,,9.82,12,32.38,
SBC2712,1,1,Ba,57,31.9,49,32.37,
SBC1006,1,1,Hw,36.6,27.1,39,32.35,
SBC3026,1,14,Hw,,18,24,32.35,
SBC5637,1,1,Hw,22.1,19,26,32.32,
SBC3042,1,21,Hw,,23.1,33,32.31,
SBC2870,1,1,Ba,,31,47,32.29,
SBC6814,1,32,Fd,41,34.42,55,32.29,
SBC0173,1,1,Fd,,34.8,56,32.25,
SBC5320,1,2,Ss,59.5,43,80,32.25,
SBC0980,1,1,Hw,40.9,39.7,74,32.24,
SBC3026,1,6,Hw,,16.7,22,32.23,
98--252,1,317,At,,38.5,79,32.22,
SBC3042,1,20,Ba,,25.1,35,32.22,
SBC3031,1,12,Dr,,26.6,29,32.21,
SBC4950,1,1,Bl,13.6,19,22,32.21,
SBC2721,1,1,Hw,,31.6,49,32.17,
SBC3022,1,5,Ss,,17.2,24,32.15,
SBC3026,1,21,Hw,,18.4,25,32.15,
KN02467,1,2,Bg,54,40.6,77,32.14,
SBC2694,1,1,Ss,53,26.3,38,32.14,
SBC2622,1,3,Ss,29.3,23.9,34,32.13,
SBC0246,1,1,Hw,,35.4,59,32.13,
SBC1069,1,1,Fd,,10.48,13,32.13,
SBC2561,1,1,Ss,36.6,25.7,37,32.13,
SBC5608,1,2,Sx,55.9,25.2,36,32.13,
SBC2553,1,2,Hw,26.1,25.8,37,32.1,
SBC2730,1,1,Ss,,29.8,45,32.09,
SBC2711,1,3,Hw,20.8,16.6,22,32.08,
00kfr36,1,1,Fd,10.3,8.2,10,32.07,
SBC2585,1,1,Hw,34.3,22.2,32,32.06,
SBC2081,1,2,Sx,55.2,43.4,101,32.06,
SBC3042,1,8,Hw,,22.2,32,32.06,
SBC5795,1,1,Sx,23.6,33.5,54,32.06,
SBC1112,1,1,Fd,,17.16,22,32.05,
SBC5840,1,2,Hw,29.3,22.9,33,32.05,
SBC6818,1,1,Fd,54.2,40.04,71,32.04,
SBC0996,1,1,Fd,35.7,25.4,36,32.03,
SBC2569,1,1,Ss,41.2,26.2,38,32.03,
SBC2667,1,2,Ss,21,12.7,18,31.99,
SBC6811,1,1,Fd,58,35.7,59,31.99,
KN02434,1,2,Pw,23.4,17.2,24,31.98,
SBC1076,1,1,Fd,,16.4,21,31.98,
KN02924,1,1,Sx,51.8,39.7,78,31.97,
SBC1000,1,1,Pw,38.1,22,31,31.95,
SBC2743,1,1,Ba,,24.3,34,31.94,
SBC1631,1,0,Dr,,34.3,68,31.94,
SBC2060,1,2,Hw,25.1,22.1,32,31.93,
SBC5512,1,1,Sx,39,24.5,35,31.92,
SBC1810,1,2,Ss,55.8,26.1,38,31.92,
